10:46:19 p1 | P a2 mny+0 (real +0.43) 767/765 | mid 0.680 spr 2.9% | C:Filled 0.62 1.0s | V:FORZADO 0.6000000000000001 58.1s | ida-vuelta -2.0$
10:48:05 p1 | P a2 mny+1 (real +0.53) 768/766 | mid 0.910 spr 2.2% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
10:48:31 p1 | C a3 mny+1 (real +1.47) 766/769 | mid 1.410 spr 1.4% | C:Filled 1.37 0.5s | V:FORZADO 1.25 56.6s | ida-vuelta -12.0$
10:49:33 p1 | P a3 mny+1 (real +0.53) 768/765 | mid 1.180 spr 1.7% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
10:49:55 p1 | C a4 mny+1 (real +1.47) 766/770 | mid 1.590 spr 1.3% | C:Filled 1.49 1.0s | V:FORZADO 1.4600000000000002 56.5s | ida-vuelta -3.0$
10:50:57 p1 | P a4 mny+1 (real +0.53) 768/764 | mid 1.350 spr 1.5% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
10:51:19 p1 | C a2 mny+2 (real +2.47) 765/767 | mid 1.350 spr 3.0% | C:Filled 1.31 3.6s | V:FORZADO 1.2999999999999998 57.1s | ida-vuelta -1.0$
10:52:36 p1 | C a3 mny+2 (real +1.92) 765/768 | mid 1.795 spr 1.7% | C:Filled 1.8 0.5s | V:FORZADO 1.94 56.5s | ida-vuelta 14.0$
10:53:41 p1 | P a3 mny+2 (real +2.08) 769/766 | mid 1.630 spr 2.5% | C:Filled 1.57 6.1s | V:FORZADO 1.79 56.6s | ida-vuelta 22.0$
10:54:47 p1 | C a4 mny+2 (real +1.92) 765/769 | mid 2.095 spr 1.4% | C:Filled 2.06 3.0s | V:FORZADO 2.02 56.6s | ida-vuelta -4.0$
11:00:29 p1 | P a2 mny-5 (real -5.15) 762/760 | mid 0.060 spr 33.3% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:00:57 p1 | P a3 mny-5 (real -5.15) 762/759 | mid 0.080 spr 25.0% | C:Filled 0.08 15.7s | V:NO_PLANA None 24.2s | ida-vuelta None$
11:01:46 p1 | P a4 mny-5 (real -5.15) 762/758 | mid 0.080 spr 25.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:02:11 p1 | P a2 mny-3 (real -3.15) 764/762 | mid 0.160 spr 12.5% | C:RECHAZADA None 0.5s | V:None None Nones | ida-vuelta None$
11:02:15 p1 | P a3 mny-3 (real -3.15) 764/761 | mid 0.200 spr 10.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:02:41 p1 | P a4 mny-3 (real -3.15) 764/760 | mid 0.220 spr 9.1% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:03:36 p1 | P a3 mny-1 (real -0.78) 767/764 | mid 0.650 spr 3.1% | C:Filled 0.58 8.6s | V:FORZADO 0.52 17.5s | ida-vuelta -6.0$
11:04:16 p1 | P a4 mny-1 (real -0.78) 767/763 | mid 0.740 spr 2.7% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:04:40 p1 | C a2 mny+2 (real +1.78) 766/768 | mid 1.250 spr 3.2% | C:Filled 1.32 11.7s | V:FORZADO 1.2400000000000002 16.2s | ida-vuelta -8.0$
11:05:19 p1 | C a2 mny+3 (real +2.78) 765/767 | mid 1.485 spr 3.4% | C:Filled 1.5 4.0s | V:FORZADO None 24.2s | ida-vuelta None$
11:05:57 p1 | C a3 mny+3 (real +2.78) 765/768 | mid 2.040 spr 2.0% | C:Filled 1.87 14.7s | V:FORZADO 1.87 16.1s | ida-vuelta 0.0$
11:06:40 p1 | C a2 mny+5 (real +4.78) 763/765 | mid 1.780 spr 3.4% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:07:19 p1 | C a3 mny+5 (real +5.11) 762/765 | mid 2.650 spr 3.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:07:46 p1 | C a4 mny+5 (real +5.11) 762/766 | mid 3.400 spr 1.8% | C:Filled 3.39 8.6s | V:FORZADO None 25.0s | ida-vuelta None$
11:08:30 p1 | C a2 mny+10 (real +10.11) 757/759 | mid 1.985 spr 25.7% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:08:57 p1 | C a3 mny+10 (real +10.11) 757/760 | mid 3.040 spr 11.8% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:09:21 p1 | C a4 mny+10 (real +10.11) 757/761 | mid 4.010 spr 9.0% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:09:46 p1 | C a2 mny+20 (real +20.11) 747/749 | mid 2.000 spr 30.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:10:23 p1 | C a3 mny+20 (real +19.56) 747/750 | mid 3.000 spr 18.7% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:10:50 p1 | C a4 mny+20 (real +19.56) 747/751 | mid 4.000 spr 14.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
