════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:10 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-19 (0DTE 20260819)
════════════════════════════════════════════════════════════
2026-08-19 15:20:10 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | IBKR | IBKR conectado (paper 4002)
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | ARRANQUE | Autocalibra: saldo=1497 nivel=10 ancho=4 tope=250 unidades=1
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
════════════════════════════════════════════════════════════
2026-08-19 15:36:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:36:08 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.78)
2026-08-19 15:36:08 | DATA   | cadena persistida 2026-08-19 15:36: 82 filas (fuente=live)
2026-08-19 15:37:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:37:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.47)
2026-08-19 15:37:07 | DATA   | cadena persistida 2026-08-19 15:37: 82 filas (fuente=live)
2026-08-19 15:38:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:38:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.30)
2026-08-19 15:38:07 | DATA   | cadena persistida 2026-08-19 15:38: 82 filas (fuente=live)
2026-08-19 15:39:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:39:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.36)
2026-08-19 15:39:07 | DATA   | cadena persistida 2026-08-19 15:39: 82 filas (fuente=live)
2026-08-19 15:40:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:40:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.18)
2026-08-19 15:40:07 | DATA   | cadena persistida 2026-08-19 15:40: 82 filas (fuente=live)
2026-08-19 15:41:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
