=== NOTIF === 2026-08-18 09:09:30 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
2026-08-18 10:39:08 | DATA   | cadena persistida 2026-08-18 10:39: 82 filas (fuente=live)
2026-08-18 10:40:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:40:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.09)
2026-08-18 10:40:08 | DATA   | cadena persistida 2026-08-18 10:40: 82 filas (fuente=live)
2026-08-18 10:41:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:41:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.95)
2026-08-18 10:41:07 | DATA   | cadena persistida 2026-08-18 10:41: 82 filas (fuente=live)
2026-08-18 10:42:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:42:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.87)
2026-08-18 10:42:07 | DATA   | cadena persistida 2026-08-18 10:42: 82 filas (fuente=live)
2026-08-18 10:43:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:43:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 10:43:07 | DATA   | cadena persistida 2026-08-18 10:43: 82 filas (fuente=live)
2026-08-18 10:44:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:44:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.58)
2026-08-18 10:44:07 | DATA   | cadena persistida 2026-08-18 10:44: 82 filas (fuente=live)
2026-08-18 10:45:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:45:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.40)
2026-08-18 10:45:06 | DATA   | cadena persistida 2026-08-18 10:45: 82 filas (fuente=live)
2026-08-18 10:46:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:46:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.27)
2026-08-18 10:46:06 | DATA   | cadena persistida 2026-08-18 10:46: 82 filas (fuente=live)
2026-08-18 10:47:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:47:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.50)
2026-08-18 10:47:06 | DATA   | cadena persistida 2026-08-18 10:47: 82 filas (fuente=live)
2026-08-18 10:48:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:48:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.38)
2026-08-18 10:48:06 | DATA   | cadena persistida 2026-08-18 10:48: 82 filas (fuente=live)
2026-08-18 10:49:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:49:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.58)
2026-08-18 10:49:05 | DATA   | cadena persistida 2026-08-18 10:49: 82 filas (fuente=live)
2026-08-18 10:50:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:50:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.47)
2026-08-18 10:50:05 | DATA   | cadena persistida 2026-08-18 10:50: 82 filas (fuente=live)
2026-08-18 10:51:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:51:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.61)
2026-08-18 10:51:05 | DATA   | cadena persistida 2026-08-18 10:51: 82 filas (fuente=live)
2026-08-18 10:52:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:52:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.70)
2026-08-18 10:52:04 | DATA   | cadena persistida 2026-08-18 10:52: 82 filas (fuente=live)
2026-08-18 10:53:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:53:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 10:53:09 | DATA   | cadena persistida 2026-08-18 10:53: 82 filas (fuente=live)
2026-08-18 10:54:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:54:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.16)
2026-08-18 10:54:09 | DATA   | cadena persistida 2026-08-18 10:54: 82 filas (fuente=live)
2026-08-18 10:55:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:55:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.94)
2026-08-18 10:55:09 | DATA   | cadena persistida 2026-08-18 10:55: 82 filas (fuente=live)
2026-08-18 10:56:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:56:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.04)
2026-08-18 10:56:08 | DATA   | cadena persistida 2026-08-18 10:56: 82 filas (fuente=live)
2026-08-18 10:57:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:57:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.99)
2026-08-18 10:57:08 | DATA   | cadena persistida 2026-08-18 10:57: 82 filas (fuente=live)
2026-08-18 10:58:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:58:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.91)
2026-08-18 10:58:08 | DATA   | cadena persistida 2026-08-18 10:58: 82 filas (fuente=live)
2026-08-18 10:59:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:59:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.77)
2026-08-18 10:59:08 | DATA   | cadena persistida 2026-08-18 10:59: 82 filas (fuente=live)
2026-08-18 11:00:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:00:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.92)
2026-08-18 11:00:07 | DATA   | cadena persistida 2026-08-18 11:00: 82 filas (fuente=live)
2026-08-18 11:01:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:01:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.67)
2026-08-18 11:01:07 | DATA   | cadena persistida 2026-08-18 11:01: 82 filas (fuente=live)
════════════════════════════════════════════════════════════
🔔 2026-08-18 11:01:10 | ORDEN | COMPRA VERTICAL SPY C L=767/S=769 x1 débito<=1.02
════════════════════════════════════════════════════════════
2026-08-18 11:01:10 | POS    | operación #131 abierta: vertical C L=767.0 S=769.0 débito=1.01
2026-08-18 11:01:13 | POS    | fills op #131: 2 pata(s) llena(s)
2026-08-18 11:01:13 | SENAL  | señal 11:00 C (ORB) -> OPERADA
2026-08-18 11:02:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:02:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.56)
2026-08-18 11:02:07 | DATA   | cadena persistida 2026-08-18 11:02: 82 filas (fuente=live)
2026-08-18 11:03:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:03:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.74)
2026-08-18 11:03:07 | DATA   | cadena persistida 2026-08-18 11:03: 82 filas (fuente=live)
2026-08-18 11:04:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:04:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.08)
2026-08-18 11:04:07 | DATA   | cadena persistida 2026-08-18 11:04: 82 filas (fuente=live)
2026-08-18 11:05:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:05:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.22)
2026-08-18 11:05:07 | DATA   | cadena persistida 2026-08-18 11:05: 82 filas (fuente=live)
2026-08-18 11:06:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:06:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.23)
2026-08-18 11:06:06 | DATA   | cadena persistida 2026-08-18 11:06: 82 filas (fuente=live)
2026-08-18 11:07:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:07:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.28)
2026-08-18 11:07:06 | DATA   | cadena persistida 2026-08-18 11:07: 82 filas (fuente=live)
2026-08-18 11:08:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:08:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.26)
2026-08-18 11:08:06 | DATA   | cadena persistida 2026-08-18 11:08: 82 filas (fuente=live)
2026-08-18 11:09:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:09:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.01)
2026-08-18 11:09:05 | DATA   | cadena persistida 2026-08-18 11:09: 82 filas (fuente=live)
2026-08-18 11:10:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:10:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.77)
2026-08-18 11:10:05 | DATA   | cadena persistida 2026-08-18 11:10: 82 filas (fuente=live)
2026-08-18 11:11:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:11:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.78)
2026-08-18 11:11:05 | DATA   | cadena persistida 2026-08-18 11:11: 82 filas (fuente=live)
════════════════════════════════════════════════════════════
🔔 2026-08-18 11:11:07 | ORDEN | COMPRA SINGLE SPY C 768 x1 <=0.93
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-18 11:11:07 | GESTION | PIRAMIDAR: +1 single C 768
════════════════════════════════════════════════════════════
seRTH=False
2026-08-18 11:28:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.65)
2026-08-18 11:28:08 | DATA   | cadena persistida 2026-08-18 11:28: 82 filas (fuente=live)
2026-08-18 11:29:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:29:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.94)
2026-08-18 11:29:08 | DATA   | cadena persistida 2026-08-18 11:29: 82 filas (fuente=live)
2026-08-18 11:30:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:30:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.84)
2026-08-18 11:30:07 | DATA   | cadena persistida 2026-08-18 11:30: 82 filas (fuente=live)
2026-08-18 11:31:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:31:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.12)
2026-08-18 11:31:07 | DATA   | cadena persistida 2026-08-18 11:31: 82 filas (fuente=live)
2026-08-18 11:32:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:32:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.92)
2026-08-18 11:32:07 | DATA   | cadena persistida 2026-08-18 11:32: 82 filas (fuente=live)
2026-08-18 11:33:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:33:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.80)
2026-08-18 11:33:06 | DATA   | cadena persistida 2026-08-18 11:33: 82 filas (fuente=live)
2026-08-18 11:34:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:34:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.93)
2026-08-18 11:34:06 | DATA   | cadena persistida 2026-08-18 11:34: 82 filas (fuente=live)
2026-08-18 11:35:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:35:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.89)
2026-08-18 11:35:06 | DATA   | cadena persistida 2026-08-18 11:35: 82 filas (fuente=live)
2026-08-18 11:36:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:36:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.70)
2026-08-18 11:36:05 | DATA   | cadena persistida 2026-08-18 11:36: 82 filas (fuente=live)
2026-08-18 11:37:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:37:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.76)
2026-08-18 11:37:05 | DATA   | cadena persistida 2026-08-18 11:37: 82 filas (fuente=live)
2026-08-18 11:38:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:38:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.76)
2026-08-18 11:38:05 | DATA   | cadena persistida 2026-08-18 11:38: 82 filas (fuente=live)
2026-08-18 11:39:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:39:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.88)
2026-08-18 11:39:04 | DATA   | cadena persistida 2026-08-18 11:39: 82 filas (fuente=live)
2026-08-18 11:40:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:40:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.83)
2026-08-18 11:40:09 | DATA   | cadena persistida 2026-08-18 11:40: 82 filas (fuente=live)
2026-08-18 11:41:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:41:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.91)
2026-08-18 11:41:08 | DATA   | cadena persistida 2026-08-18 11:41: 82 filas (fuente=live)
2026-08-18 11:42:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:42:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.16)
2026-08-18 11:42:08 | DATA   | cadena persistida 2026-08-18 11:42: 82 filas (fuente=live)
2026-08-18 11:43:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:43:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.05)
2026-08-18 11:43:08 | DATA   | cadena persistida 2026-08-18 11:43: 82 filas (fuente=live)
2026-08-18 11:44:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:44:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.99)
2026-08-18 11:44:08 | DATA   | cadena persistida 2026-08-18 11:44: 82 filas (fuente=live)
2026-08-18 11:45:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:45:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.06)
2026-08-18 11:45:07 | DATA   | cadena persistida 2026-08-18 11:45: 82 filas (fuente=live)
2026-08-18 11:46:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:46:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.33)
2026-08-18 11:46:07 | DATA   | cadena persistida 2026-08-18 11:46: 82 filas (fuente=live)
2026-08-18 11:47:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:47:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.40)
2026-08-18 11:47:06 | DATA   | cadena persistida 2026-08-18 11:47: 82 filas (fuente=live)
2026-08-18 11:48:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:48:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.47)
2026-08-18 11:48:06 | DATA   | cadena persistida 2026-08-18 11:48: 82 filas (fuente=live)
2026-08-18 11:49:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:49:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 11:49:06 | DATA   | cadena persistida 2026-08-18 11:49: 82 filas (fuente=live)
2026-08-18 11:50:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:50:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.39)
2026-08-18 11:50:05 | DATA   | cadena persistida 2026-08-18 11:50: 82 filas (fuente=live)
2026-08-18 11:51:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:51:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.14)
2026-08-18 11:51:05 | DATA   | cadena persistida 2026-08-18 11:51: 82 filas (fuente=live)
2026-08-18 11:52:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:52:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.24)
2026-08-18 11:52:05 | DATA   | cadena persistida 2026-08-18 11:52: 82 filas (fuente=live)
2026-08-18 11:53:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:53:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.46)
2026-08-18 11:53:04 | DATA   | cadena persistida 2026-08-18 11:53: 82 filas (fuente=live)
2026-08-18 11:54:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:54:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.47)
2026-08-18 11:54:04 | DATA   | cadena persistida 2026-08-18 11:54: 82 filas (fuente=live)
2026-08-18 11:54:59 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=34
=== NOTIF === 2026-08-18 11:55:00 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-18 11:55:00 | ARRANQUE | POSICIÓN RECUPERADA de IBKR: vertical C L=767/S=769 coste=1.03 +pirámide 768 (entrada 11:01)
2026-08-18 11:55:00 | DATA   | IBKR desconectado
2026-08-18 11:55:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:55:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.49)
2026-08-18 11:55:09 | DATA   | cadena persistida 2026-08-18 11:55: 82 filas (fuente=live)
2026-08-18 11:56:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:56:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 11:56:09 | DATA   | cadena persistida 2026-08-18 11:56: 82 filas (fuente=live)
2026-08-18 11:56:56 | POS    | op #131: entrada completada (ask_corto, ask_largo, bid_corto, bid_largo, precio_corto_cobrado, precio_largo_pagado)
2026-08-18 11:57:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:57:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.30)
2026-08-18 11:57:08 | DATA   | cadena persistida 2026-08-18 11:57: 82 filas (fuente=live)
2026-08-18 11:58:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:58:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.12)
2026-08-18 11:58:08 | DATA   | cadena persistida 2026-08-18 11:58: 82 filas (fuente=live)
2026-08-18 11:59:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
=== NOTIF === 2026-08-18 11:59:22 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
2026-08-18 11:59:22 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
=== NOTIF === 2026-08-18 11:59:22 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-18 11:59:23 | ARRANQUE | Autocalibra: saldo=622 nivel=6 ancho=2 tope=110 unidades=1
=== NOTIF === 2026-08-18 11:59:23 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
2026-08-18 11:59:23 | DATA   | backfill SPY 2 D 1 min useRTH=False
2026-08-18 11:59:23 | DATA   | backfill SPY: 1201 barras persistidas (fecha 2026-08-18)
2026-08-18 11:59:23 | DATA   | backfill DIA: 36 barras
2026-08-18 11:59:23 | DATA   | backfill TLT: 36 barras
2026-08-18 11:59:23 | DATA   | día anterior (2026-08-17, cierres RTH): cierre=772.64 máx=776.64 mín=772.58
2026-08-18 11:59:23 | DATA   | día anterior (cierres RTH): max=776.64 min=772.58 cierre=772.64
=== NOTIF === 2026-08-18 11:59:23 | ARRANQUE | POSICIÓN RECUPERADA de IBKR: vertical C L=767/S=769 coste=1.03 +pirámide 768 (entrada 11:01)
=== NOTIF === 2026-08-18 11:59:23 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
2026-08-18 11:59:23 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 11:59:28 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.11)
2026-08-18 11:59:28 | DATA   | cadena persistida 2026-08-18 11:59: 82 filas (fuente=live)
2026-08-18 12:00:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:00:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.35)
2026-08-18 12:00:08 | DATA   | cadena persistida 2026-08-18 12:00: 82 filas (fuente=live)
2026-08-18 12:01:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:01:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.48)
2026-08-18 12:01:08 | DATA   | cadena persistida 2026-08-18 12:01: 82 filas (fuente=live)
2026-08-18 12:02:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:02:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.41)
2026-08-18 12:02:07 | DATA   | cadena persistida 2026-08-18 12:02: 82 filas (fuente=live)
2026-08-18 12:03:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:03:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 12:03:07 | DATA   | cadena persistida 2026-08-18 12:03: 82 filas (fuente=live)
2026-08-18 12:04:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:04:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.52)
2026-08-18 12:04:07 | DATA   | cadena persistida 2026-08-18 12:04: 82 filas (fuente=live)
2026-08-18 12:04:21 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=34
=== NOTIF === 2026-08-18 12:04:21 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-18 12:04:22 | ARRANQUE | POSICIÓN RECUPERADA de IBKR: vertical C L=767/S=769 coste=1.03 +pirámide 768 (entrada 11:01)
2026-08-18 12:04:22 | DATA   | IBKR desconectado
2026-08-18 12:05:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:05:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.57)
2026-08-18 12:05:07 | DATA   | cadena persistida 2026-08-18 12:05: 82 filas (fuente=live)
2026-08-18 12:06:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:06:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.60)
2026-08-18 12:06:07 | DATA   | cadena persistida 2026-08-18 12:06: 82 filas (fuente=live)
2026-08-18 12:07:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:07:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.41)
2026-08-18 12:07:06 | DATA   | cadena persistida 2026-08-18 12:07: 82 filas (fuente=live)
2026-08-18 12:08:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:08:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.51)
2026-08-18 12:08:06 | DATA   | cadena persistida 2026-08-18 12:08: 82 filas (fuente=live)
2026-08-18 12:09:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:09:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.48)
2026-08-18 12:09:06 | DATA   | cadena persistida 2026-08-18 12:09: 82 filas (fuente=live)
2026-08-18 12:10:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:10:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 12:10:05 | DATA   | cadena persistida 2026-08-18 12:10: 82 filas (fuente=live)
2026-08-18 12:11:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:11:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.56)
2026-08-18 12:11:05 | DATA   | cadena persistida 2026-08-18 12:11: 82 filas (fuente=live)
2026-08-18 12:12:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:12:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.64)
2026-08-18 12:12:05 | DATA   | cadena persistida 2026-08-18 12:12: 82 filas (fuente=live)
2026-08-18 12:13:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:13:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.65)
2026-08-18 12:13:05 | DATA   | cadena persistida 2026-08-18 12:13: 82 filas (fuente=live)
2026-08-18 12:14:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:14:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.67)
2026-08-18 12:14:04 | DATA   | cadena persistida 2026-08-18 12:14: 82 filas (fuente=live)
=== NOTIF === 2026-08-18 12:14:52 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
2026-08-18 12:14:52 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
=== NOTIF === 2026-08-18 12:14:53 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-18 12:14:53 | ARRANQUE | Autocalibra: saldo=653 nivel=6 ancho=2 tope=110 unidades=1
=== NOTIF === 2026-08-18 12:14:53 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
2026-08-18 12:14:53 | DATA   | backfill SPY 2 D 1 min useRTH=False
