2026-08-20 08:53:46 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=33
=== NOTIF === 2026-08-20 08:53:47 | IBKR | IBKR conectado (paper 4002)
2026-08-20 08:53:47 | DATA   | IBKR desconectado
2026-08-20 09:26:29 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=34
=== NOTIF === 2026-08-20 09:26:30 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-20 09:31:03 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-20 (0DTE 20260820)
2026-08-20 09:31:03 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
=== NOTIF === 2026-08-20 09:31:03 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-20 09:31:03 | ARRANQUE | Autocalibra: saldo=600 nivel=6 ancho=2 tope=110 unidades=1
=== NOTIF === 2026-08-20 09:31:03 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
2026-08-20 09:31:03 | DATA   | backfill SPY 2 D 1 min useRTH=False
2026-08-20 09:31:05 | DATA   | backfill SPY: 1052 barras persistidas (fecha 2026-08-20)
2026-08-20 09:31:06 | DATA   | backfill DIA: 2 barras
2026-08-20 09:31:07 | DATA   | backfill TLT: 2 barras
2026-08-20 09:31:07 | DATA   | día anterior (2026-08-19, cierres RTH): cierre=769.18 máx=772.23 mín=768.29
2026-08-20 09:31:07 | DATA   | día anterior (cierres RTH): max=772.23 min=768.29 cierre=769.18
=== NOTIF === 2026-08-20 09:31:07 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
2026-08-20 09:31:07 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-20 09:31:12 | DATA   | cadena 20260820: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 765.93)
2026-08-20 09:31:12 | DATA   | cadena persistida 2026-08-20 09:31: 82 filas (fuente=live)
2026-08-20 09:31:12 | SENAL  | señal 09:30 C (ayer_rev) -> solo_captura
2026-08-20 09:31:32 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=34
=== NOTIF === 2026-08-20 09:31:32 | IBKR | IBKR conectado (paper 4002)
2026-08-20 09:31:35 | DATA   | cadena 20260820: 22 contratos (ITM+OTM C/P) capturados y cancelados (spot 765.93)
=== NOTIF === 2026-08-20 09:31:37 | ORDEN | COMPRA VERTICAL SPY C L=768/S=770 x1 débito<=0.55
2026-08-20 09:31:45 | DATA   | cadena 20260820: 10 contratos (ITM+OTM C/P) capturados y cancelados (spot 765.93)
