RECORRIDO DE CIERRES DE 2 EN 2  -  todas las velas, de inicio a fin
========================================================================================
fuente: spy_velas.db   dias: 2026-08-11, 2026-08-12, 2026-08-13

delta      = close[i] - close[i-1]   (el diferencial de cada par)
recorrido  = suma acumulada de |delta|  -> lo que el precio ANDUVO desde la apertura
neto       = close[i] - close[apertura] -> lo que el precio AVANZO desde la apertura

########################################################################################
# 1) PARES DESLIZANTES: cada vela contra la anterior
########################################################################################

=== 2026-08-11 ===   390 velas
  hora     open    close    delta  color  recorrido     neto
 11:07   773.11   773.05    -0.05   ROJA      12.67    -0.89
 11:08   773.03   772.88    -0.17   ROJA      12.84    -1.06
 11:09   772.88   772.80    -0.08   ROJA      12.92    -1.14
 11:10   772.79   772.80    +0.00  VERDE      12.92    -1.14
 11:11   772.80   772.75    -0.05   ROJA      12.97    -1.19
 11:12   772.74   772.83    +0.08  VERDE      13.05    -1.11
 11:13   772.82   772.61    -0.22   ROJA      13.27    -1.33
 11:14   772.61   772.66    +0.05  VERDE      13.32    -1.28
 11:15   772.66   772.64    -0.02   ROJA      13.34    -1.30
 11:16   772.63   772.53    -0.11   ROJA      13.45    -1.41
 11:17   772.54   772.49    -0.04   ROJA      13.49    -1.45
 11:18   772.49   772.22    -0.27   ROJA      13.76    -1.72
 11:19   772.21   772.45    +0.23  VERDE      13.99    -1.49
 11:20   772.45   772.54    +0.09  VERDE      14.08    -1.40
 11:21   772.54   772.78    +0.24  VERDE      14.32    -1.16
 11:22   772.77   772.75    -0.03   ROJA      14.35    -1.19
 11:23   772.75   772.64    -0.11   ROJA      14.46    -1.30
 11:24   772.63   772.51    -0.13   ROJA      14.59    -1.43
 11:25   772.52   772.62    +0.11  VERDE      14.70    -1.32
 11:26   772.60   772.62    +0.00  VERDE      14.70    -1.32
 11:27   772.61   772.46    -0.16   ROJA      14.86    -1.48
 11:28   772.47   772.42    -0.04   ROJA      14.90    -1.52
 11:29   772.45   772.40    -0.02   ROJA      14.92    -1.54
 11:30   772.41   772.51    +0.11  VERDE      15.03    -1.43
 11:31   772.51   772.36    -0.15   ROJA      15.18    -1.58
 11:32   772.38   772.46    +0.10  VERDE      15.28    -1.48
 11:33   772.49   772.37    -0.09   ROJA      15.37    -1.57
 11:34   772.37   771.95    -0.42   ROJA      15.79    -1.99
 11:35   771.95   772.01    +0.06  VERDE      15.85    -1.93
 11:36   772.00   772.05    +0.04  VERDE      15.89    -1.89
 11:37   772.04   771.99    -0.06   ROJA      15.95    -1.95
 11:38   771.98   771.99    +0.00  VERDE      15.95    -1.95
 11:39   771.99   771.86    -0.13   ROJA      16.08    -2.08
 11:40   771.86   771.99    +0.13  VERDE      16.21    -1.95
 11:41   771.99   771.98    -0.01   ROJA      16.22    -1.96
 11:42   772.00   772.11    +0.13  VERDE      16.35    -1.83
 11:43   772.12   772.18    +0.07  VERDE      16.42    -1.76
 11:44   772.18   772.18    +0.00   DOJI      16.42    -1.76
 11:45   772.17   772.09    -0.09   ROJA      16.51    -1.85
 11:46   772.08   771.98    -0.11   ROJA      16.62    -1.96
 11:47   771.98   771.91    -0.07   ROJA      16.69    -2.03
 11:48   771.92   772.00    +0.09  VERDE      16.78    -1.94
 11:49   772.00   772.00    +0.00   DOJI      16.78    -1.94
 11:50   772.00   772.23    +0.23  VERDE      17.01    -1.71
 11:51   772.22   771.93    -0.30   ROJA      17.31    -2.01
 11:52   771.93   771.84    -0.09   ROJA      17.40    -2.10
 11:53   771.84   771.79    -0.05   ROJA      17.45    -2.15
 11:54   771.79   771.84    +0.05  VERDE      17.50    -2.10
 11:55   771.84   771.79    -0.05   ROJA      17.55    -2.15
 11:56   771.80   771.91    +0.12  VERDE      17.67    -2.03
 11:57   771.90   771.86    -0.05   ROJA      17.72    -2.08
 11:58   771.85   772.00    +0.14  VERDE      17.86    -1.94
 11:59   772.02   772.00    +0.00   ROJA      17.86    -1.94
 12:00   772.03   772.29    +0.29  VERDE      18.15    -1.65
 12:01   772.28   772.10    -0.19   ROJA      18.34    -1.84
 12:02   772.10   772.16    +0.06  VERDE      18.40    -1.78
 12:03   772.17   772.03    -0.13   ROJA      18.53    -1.91
