PREMIUM NETO POR STRIKE Y POR MINUTO — 2026-08-11 — expiry 0DTE 20260811
neto = COMPRAS - VENTAS (por agresor, quien cruzo el spread), en MILES de $
Positivo = entro dinero comprando ese strike. Negativo = se vendio.
MID k$ = dinero que se cruzo dentro del spread y NO se puede atribuir.
Cobertura: 6 strikes (los de SENAL, que rotan con el precio). La banda NO entra.

┌──────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬────────────┬───────────┐
│   MINUTO │        769C │        770C │        771C │        770P │        771P │        772P │    TOT CALL │     TOT PUT │       C - P │     MID k$ │       SPY │
│    15:11 │             │         -23 │             │             │         +17 │             │         -23 │         +17 │         -40 │         18 │    770.25 │
│    15:12 │             │          -9 │             │             │          -1 │             │          -9 │          -1 │          -8 │         29 │    770.20 │
│    15:13 │             │         +90 │             │             │         +30 │             │         +90 │         +30 │         +60 │          6 │    770.35 │
│    15:14 │             │         -11 │             │             │          -7 │             │         -11 │          -7 │          -4 │         47 │    770.24 │
│    15:15 │             │          +9 │             │             │         -17 │             │          +9 │         -17 │         +26 │         26 │    770.21 │
│    15:16 │             │          -8 │             │             │         +11 │             │          -8 │         +11 │         -19 │         39 │    770.33 │
│    15:17 │             │         -42 │             │             │         -10 │             │         -42 │         -10 │         -32 │         27 │    770.26 │
│    15:18 │             │         -10 │             │             │         +21 │             │         -10 │         +21 │         -31 │         18 │    770.38 │
│    15:19 │             │        -285 │             │             │         +10 │             │        -285 │         +10 │        -295 │         65 │    770.44 │
│    15:20 │             │         +24 │             │             │         -11 │             │         +24 │         -11 │         +35 │         25 │    770.44 │
│    15:21 │             │         +30 │             │             │         -12 │             │         +30 │         -12 │         +42 │         30 │    770.52 │
│    15:22 │             │          +4 │             │             │         -49 │             │          +4 │         -49 │         +53 │         28 │    770.50 │
│    15:23 │             │         +91 │             │             │         -12 │             │         +91 │         -12 │        +103 │         36 │    770.54 │
│    15:24 │             │         +67 │             │             │         +27 │             │         +67 │         +27 │         +39 │         96 │    770.64 │
│    15:25 │             │         -46 │             │             │         +34 │             │         -46 │         +34 │         -80 │         82 │    770.62 │
│    15:26 │             │          +2 │             │             │         +12 │             │          +2 │         +12 │          -9 │         27 │    770.57 │
