SENAL + M1 + M2 + ACUMULADO

  |C|-|P|    = diferencia del minuto, con signo
  SENAL      = UP si |CALL|>|PUT| ese minuto, DOWN si no
  M1         = quien va ganando el contador de MINUTOS acumulado
  M2         = quien va ganando el contador de DOLARES acumulado
  ACUMULADO  = suma corrida de |C|-|P| con signo desde la apertura
  SG         = signo del acumulado
  !! = minuto con re-centrado de strike (GAP D)

====================================================================================================
2026-08-10   323 minutos
====================================================================================================
   min      SPY      |CALL|       |PUT|      |C|-|P|  SENAL     M1     M2        ACUMULADO  SG
 12:07     772.26     1970702     2179422      -208720   DOWN   DOWN   DOWN       -214849420   -
 12:08     772.27     1946263     2174402      -228139   DOWN   DOWN   DOWN       -215077559   -
 12:09     772.31     1946351     2162045      -215694   DOWN   DOWN   DOWN       -215293253   -
 12:10     772.27     1920190     2158845      -238655   DOWN   DOWN   DOWN       -215531908   -
 12:11     772.11     1911813     2171484      -259671   DOWN   DOWN   DOWN       -215791579   -
 12:12     772.10     1906533     2189388      -282855   DOWN   DOWN   DOWN       -216074434   -
 12:13     772.10     1865222     2200837      -335615   DOWN   DOWN   DOWN       -216410049   -
 12:14     771.96     1858257     2216457      -358200   DOWN   DOWN   DOWN       -216768249   -
 12:15     772.14     1929402     2207422      -278020   DOWN   DOWN   DOWN       -217046269   -
 12:16     772.34     1282439     2216814      -934375   DOWN   DOWN   DOWN       -217980644   -
 12:17     772.35     1360603     2162482      -801879   DOWN   DOWN   DOWN       -218782523   -
 12:18     772.23     1352207     2118511      -766304   DOWN   DOWN   DOWN       -219548827   -
 12:19     772.08     1343119     2062484      -719365   DOWN   DOWN   DOWN       -220268192   -
 12:20     772.05     1340730     2100018      -759288   DOWN   DOWN   DOWN       -221027480   -
 12:21     772.13     1277679     2081722      -804043   DOWN   DOWN   DOWN       -221831523   -
 12:22     772.16     1276220     2077113      -800893   DOWN   DOWN   DOWN       -222632416   -
 12:23     772.02     1257061     2047229      -790168   DOWN   DOWN   DOWN       -223422584   -
 12:24!!   771.71      652900     5742986     -5090086   DOWN   DOWN   DOWN       -228512670   -
 12:25     771.63      652169     5664687     -5012518   DOWN   DOWN   DOWN       -233525188   -
 12:26     771.66      693730     5650823     -4957093   DOWN   DOWN   DOWN       -238482281   -
 12:27     771.88      767455     5605372     -4837917   DOWN   DOWN   DOWN       -243320198   -
 12:28     771.67      765372     5704753     -4939381   DOWN   DOWN   DOWN       -248259579   -
 12:29     771.82      751546     5757991     -5006445   DOWN   DOWN   DOWN       -253266024   -
 12:30     771.83      754733     5810512     -5055779   DOWN   DOWN   DOWN       -258321803   -
 12:31     771.54      722853     5807240     -5084387   DOWN   DOWN   DOWN       -263406190   -
 12:32     771.50      729139     5762996     -5033857   DOWN   DOWN   DOWN       -268440047   -
 12:33     771.56      729462     5725323     -4995861   DOWN   DOWN   DOWN       -273435908   -
 12:34     771.56      711577     5691799     -4980222   DOWN   DOWN   DOWN       -278416130   -
 12:35     771.74      705490     5593019     -4887529   DOWN   DOWN   DOWN       -283303659   -
 12:36     771.81      709988     5574391     -4864403   DOWN   DOWN   DOWN       -288168062   -
 12:37     771.91      765997     5565799     -4799802   DOWN   DOWN   DOWN       -292967864   -
 12:38     771.87      743026     5565194     -4822168   DOWN   DOWN   DOWN       -297790032   -
 12:39     771.87      748574     5587346     -4838772   DOWN   DOWN   DOWN       -302628804   -
 12:40     771.74      685453     5559647     -4874194   DOWN   DOWN   DOWN       -307502998   -
 12:41     771.73      687785     5561917     -4874132   DOWN   DOWN   DOWN       -312377130   -
 12:42     771.71      706392     5533002     -4826610   DOWN   DOWN   DOWN       -317203740   -
 12:43     771.58      741276     5529445     -4788169   DOWN   DOWN   DOWN       -321991909   -
 12:44     771.58      785961     5478763     -4692802   DOWN   DOWN   DOWN       -326684711   -
 12:45     771.47      792962     5502797     -4709835   DOWN   DOWN   DOWN       -331394546   -
 12:46     771.36      772287     5548060     -4775773   DOWN   DOWN   DOWN       -336170319   -
 12:47     771.36      768411     5556575     -4788164   DOWN   DOWN   DOWN       -340958483   -
 12:48     771.37      825469     5587609     -4762140   DOWN   DOWN   DOWN       -345720623   -
 12:49     771.43      993570     5658566     -4664996   DOWN   DOWN   DOWN       -350385619   -
 12:50     771.38     1068623     5695286     -4626663   DOWN   DOWN   DOWN       -355012282   -
 12:51     771.45     1026710     5651531     -4624821   DOWN   DOWN   DOWN       -359637103   -
 12:52     771.39     1048259     5688957     -4640698   DOWN   DOWN   DOWN       -364277801   -
 12:53     771.33     1072625     5710659     -4638034   DOWN   DOWN   DOWN       -368915835   -
 12:54     771.38     1065059     5723099     -4658040   DOWN   DOWN   DOWN       -373573875   -
 12:55     771.29     1069854     5717301     -4647447   DOWN   DOWN   DOWN       -378221322   -
 12:56     771.20     1193595     5818994     -4625399   DOWN   DOWN   DOWN       -382846721   -
 12:57     771.14     1259948     5859567     -4599619   DOWN   DOWN   DOWN       -387446340   -
 12:58     771.08     1326004     5873678     -4547674   DOWN   DOWN   DOWN       -391994014   -
 12:59     771.14     1442810     5911301     -4468491   DOWN   DOWN   DOWN       -396462505   -
 13:00     771.02     1428393     5932431     -4504038   DOWN   DOWN   DOWN       -400966543   -
 13:01     771.07     1479123     5953103     -4473980   DOWN   DOWN   DOWN       -405440523   -
 13:02!!   770.86     1521660     6258785     -4737125   DOWN   DOWN   DOWN       -410177648   -
 13:03!!   770.98     1513188     6223097     -4709909   DOWN   DOWN   DOWN       -414887557   -
 13:04     770.79     1525638     6115687     -4590049   DOWN   DOWN   DOWN       -419477606   -
 13:05     770.84     1531160     6094976     -4563816   DOWN   DOWN   DOWN       -424041422   -
 13:06!!   771.03     2712060     6753639     -4041579   DOWN   DOWN   DOWN       -428083001   -
 13:07!!   770.98     2785050     6921041     -4135991   DOWN   DOWN   DOWN       -432218992   -
 13:08!!   770.91     2889216     6841211     -3951995   DOWN   DOWN   DOWN       -436170987   -
 13:09     770.88     2892255     6797192     -3904937   DOWN   DOWN   DOWN       -440075924   -
 13:10     770.78     2848831     6883661     -4034830   DOWN   DOWN   DOWN       -444110754   -
 13:11     770.55     2904722     6836004     -3931282   DOWN   DOWN   DOWN       -448042036   -
 13:12     770.47     2917908     6719385     -3801477   DOWN   DOWN   DOWN       -451843513   -
 13:13     770.47     2932920     6652578     -3719658   DOWN   DOWN   DOWN       -455563171   -
 13:14     770.33     2965618     6602127     -3636509   DOWN   DOWN   DOWN       -459199680   -
 13:15     770.45     2966649     6589357     -3622708   DOWN   DOWN   DOWN       -462822388   -
 13:16     770.37     2968247     6616681     -3648434   DOWN   DOWN   DOWN       -466470822   -
 13:17     770.64     2948528     6525665     -3577137   DOWN   DOWN   DOWN       -470047959   -
 13:18     770.68     3090894     6591831     -3500937   DOWN   DOWN   DOWN       -473548896   -
 13:19     770.75     3188623     6491221     -3302598   DOWN   DOWN   DOWN       -476851494   -
 13:20     770.74     3197222     6484207     -3286985   DOWN   DOWN   DOWN       -480138479   -
 13:21     770.94     3231713     6362662     -3130949   DOWN   DOWN   DOWN       -483269428   -
 13:22     770.73     3246167     6268630     -3022463   DOWN   DOWN   DOWN       -486291891   -
 13:23     770.75     3202910     6296137     -3093227   DOWN   DOWN   DOWN       -489385118   -
 13:24     770.90     3135825     6326565     -3190740   DOWN   DOWN   DOWN       -492575858   -
 13:25     770.75     3087093     6356771     -3269678   DOWN   DOWN   DOWN       -495845536   -
 13:26     770.80     3105568     6370683     -3265115   DOWN   DOWN   DOWN       -499110651   -
 13:27     770.73     3129200     6398678     -3269478   DOWN   DOWN   DOWN       -502380129   -
 13:28     770.88     3156912     6428611     -3271699   DOWN   DOWN   DOWN       -505651828   -
 13:29     770.85     3184360     6368731     -3184371   DOWN   DOWN   DOWN       -508836199   -
 13:30     770.81     3188833     6424044     -3235211   DOWN   DOWN   DOWN       -512071410   -
 13:31     770.77     3187451     6435919     -3248468   DOWN   DOWN   DOWN       -515319878   -
 13:32     770.73     3178649     6419017     -3240368   DOWN   DOWN   DOWN       -518560246   -
 13:33     770.80     3128809     6418415     -3289606   DOWN   DOWN   DOWN       -521849852   -
 13:34     770.94     3138981     6419604     -3280623   DOWN   DOWN   DOWN       -525130475   -
 13:35!!   771.04     2236743     8913751     -6677008   DOWN   DOWN   DOWN       -531807483   -
 13:36     771.01     2168351     8871467     -6703116   DOWN   DOWN   DOWN       -538510599   -
 13:37!!   770.94     2401019     8658920     -6257901   DOWN   DOWN   DOWN       -544768500   -
 13:38     770.78     2493782     8724224     -6230442   DOWN   DOWN   DOWN       -550998942   -
 13:39     770.88     2472968     8700582     -6227614   DOWN   DOWN   DOWN       -557226556   -
 13:40!!   771.00     2021631     8716157     -6694526   DOWN   DOWN   DOWN       -563921082   -
 13:41!!   771.14     2226134     8377385     -6151251   DOWN   DOWN   DOWN       -570072333   -
 13:42     771.26     2396571     8391609     -5995038   DOWN   DOWN   DOWN       -576067371   -
 13:43     771.21     2204712     8421213     -6216501   DOWN   DOWN   DOWN       -582283872   -
 13:44     771.27     2225159     8415046     -6189887   DOWN   DOWN   DOWN       -588473759   -
 13:45     771.21     2204504     8381864     -6177360   DOWN   DOWN   DOWN       -594651119   -
 13:46     771.23     2212866     8384146     -6171280   DOWN   DOWN   DOWN       -600822399   -
 13:47     771.25     2181278     8347654     -6166376   DOWN   DOWN   DOWN       -606988775   -
 13:48     771.31     2046816     8375941     -6329125   DOWN   DOWN   DOWN       -613317900   -
 13:49     771.17     1976673     8411464     -6434791   DOWN   DOWN   DOWN       -619752691   -
 13:50     771.25     1955062     8422643     -6467581   DOWN   DOWN   DOWN       -626220272   -
 13:51     771.22     1956481     8416380     -6459899   DOWN   DOWN   DOWN       -632680171   -
 13:52     771.26     1955073     8415780     -6460707   DOWN   DOWN   DOWN       -639140878   -
 13:53     771.25     1972520     8478911     -6506391   DOWN   DOWN   DOWN       -645647269   -
 13:54     771.30     1932923     8458053     -6525130   DOWN   DOWN   DOWN       -652172399   -
 13:55     771.24     1938430     8458382     -6519952   DOWN   DOWN   DOWN       -658692351   -
 13:56     771.15     1954505     8421751     -6467246   DOWN   DOWN   DOWN       -665159597   -
 13:57     771.14     1946048     8420486     -6474438   DOWN   DOWN   DOWN       -671634035   -
 13:58     771.26     1910297     8454492     -6544195   DOWN   DOWN   DOWN       -678178230   -
 13:59     771.23     1917442     8444309     -6526867   DOWN   DOWN   DOWN       -684705097   -
 14:00     771.16     1929560     8487864     -6558304   DOWN   DOWN   DOWN       -691263401   -
 14:01     771.05     1939930     8462856     -6522926   DOWN   DOWN   DOWN       -697786327   -
 14:02!!   770.98     3189880    10393497     -7203617   DOWN   DOWN   DOWN       -704989944   -
 14:03!!   771.11     3373061    10080933     -6707872   DOWN   DOWN   DOWN       -711697816   -
 14:04!!   771.07     3342166     9930439     -6588273   DOWN   DOWN   DOWN       -718286089   -
 14:05!!   771.00     3285075     9805981     -6520906   DOWN   DOWN   DOWN       -724806995   -
 14:06!!   770.76     3266193     9595792     -6329599   DOWN   DOWN   DOWN       -731136594   -
 14:07     770.83     3257536     9579139     -6321603   DOWN   DOWN   DOWN       -737458197   -
 14:08     770.73     3246005     9695640     -6449635   DOWN   DOWN   DOWN       -743907832   -
 14:09     770.69     3240063     9651032     -6410969   DOWN   DOWN   DOWN       -750318801   -
 14:10     770.75     3222328     9625517     -6403189   DOWN   DOWN   DOWN       -756721990   -
 14:11     770.85     3179870     9667229     -6487359   DOWN   DOWN   DOWN       -763209349   -
 14:12     770.78     3154839     9643143     -6488304   DOWN   DOWN   DOWN       -769697653   -
 14:13     770.78     3121742     9708901     -6587159   DOWN   DOWN   DOWN       -776284812   -
 14:14     770.84     3113195     9702088     -6588893   DOWN   DOWN   DOWN       -782873705   -
 14:15     770.79     3120463     9695207     -6574744   DOWN   DOWN   DOWN       -789448449   -
 14:16     770.73     3087117     9729823     -6642706   DOWN   DOWN   DOWN       -796091155   -
 14:17     770.66     3022084     9770422     -6748338   DOWN   DOWN   DOWN       -802839493   -
 14:18     770.73     3057887     9823264     -6765377   DOWN   DOWN   DOWN       -809604870   -
 14:19     770.75     3039946     9788272     -6748326   DOWN   DOWN   DOWN       -816353196   -
 14:20     770.52     2917949     9700522     -6782573   DOWN   DOWN   DOWN       -823135769   -
 14:21     770.42     2905438     9844927     -6939489   DOWN   DOWN   DOWN       -830075258   -
 14:22     770.41     2856375     9907991     -7051616   DOWN   DOWN   DOWN       -837126874   -
 14:23     770.31     2913344    10003646     -7090302   DOWN   DOWN   DOWN       -844217176   -
 14:24     770.49     2862813    10010473     -7147660   DOWN   DOWN   DOWN       -851364836   -
 14:25     770.55     2810683    10007613     -7196930   DOWN   DOWN   DOWN       -858561766   -
 14:26     770.38     2796514    10034353     -7237839   DOWN   DOWN   DOWN       -865799605   -
 14:27     770.11     3036110    10029411     -6993301   DOWN   DOWN   DOWN       -872792906   -
 14:28!!   769.89     3072203    10427916     -7355713   DOWN   DOWN   DOWN       -880148619   -
 14:29     769.50     3086946    10382685     -7295739   DOWN   DOWN   DOWN       -887444358   -
 14:30     769.81     3066723    10249189     -7182466   DOWN   DOWN   DOWN       -894626824   -
 14:31     769.97     2989318    10194453     -7205135   DOWN   DOWN   DOWN       -901831959   -
 14:36     770.11     3031317    10268455     -7237138   DOWN   DOWN   DOWN       -909069097   -
 14:37     770.01     3023156    10148971     -7125815   DOWN   DOWN   DOWN       -916194912   -
 14:38!!   770.00     2947161    10067126     -7119965   DOWN   DOWN   DOWN       -923314877   -
 14:39!!   770.01     2862768    10124999     -7262231   DOWN   DOWN   DOWN       -930577108   -
 14:40!!   769.84     2851209    10156797     -7305588   DOWN   DOWN   DOWN       -937882696   -
 14:41     769.68     2805143    10265627     -7460484   DOWN   DOWN   DOWN       -945343180   -
 14:42     769.84     2814331    10253974     -7439643   DOWN   DOWN   DOWN       -952782823   -
 14:43     769.82     2810483    10252475     -7441992   DOWN   DOWN   DOWN       -960224815   -
 14:44     769.79     2781404    10274341     -7492937   DOWN   DOWN   DOWN       -967717752   -
 14:45     769.92     2782824    10218639     -7435815   DOWN   DOWN   DOWN       -975153567   -
 14:46     769.96     2754711    10218350     -7463639   DOWN   DOWN   DOWN       -982617206   -
 14:47!!   769.99     3912277     9531195     -5618918   DOWN   DOWN   DOWN       -988236124   -
 14:49     770.34     2701658    10251455     -7549797   DOWN   DOWN   DOWN       -995785921   -
 14:50     770.24     2485339    10242612     -7757273   DOWN   DOWN   DOWN      -1003543194   -
 14:51     770.27     2618194    10211811     -7593617   DOWN   DOWN   DOWN      -1011136811   -
 14:52     770.36     2550655    10259565     -7708910   DOWN   DOWN   DOWN      -1018845721   -
 14:53     770.30     2420848    10184143     -7763295   DOWN   DOWN   DOWN      -1026609016   -
 14:54     770.37     2469506    10173485     -7703979   DOWN   DOWN   DOWN      -1034312995   -
 14:55     770.28     2465875    10169942     -7704067   DOWN   DOWN   DOWN      -1042017062   -
 14:56     770.19     2746965    10152831     -7405866   DOWN   DOWN   DOWN      -1049422928   -
 14:57     770.33     2695041    10194400     -7499359   DOWN   DOWN   DOWN      -1056922287   -
 14:58     770.13     2694463    10220611     -7526148   DOWN   DOWN   DOWN      -1064448435   -
 14:59     770.08     2688195    10179996     -7491801   DOWN   DOWN   DOWN      -1071940236   -
 15:00!!   769.98     2663541    10232571     -7569030   DOWN   DOWN   DOWN      -1079509266   -
 15:01!!   769.99     2674100    10240808     -7566708   DOWN   DOWN   DOWN      -1087075974   -
 15:02!!   770.09     2659567    10235132     -7575565   DOWN   DOWN   DOWN      -1094651539   -
 15:03     770.10     2601408    10234649     -7633241   DOWN   DOWN   DOWN      -1102284780   -
 15:04     770.10     2628059    10227187     -7599128   DOWN   DOWN   DOWN      -1109883908   -
 15:05     770.08     2686189    10227754     -7541565   DOWN   DOWN   DOWN      -1117425473   -
 15:06     770.03     2700511    10235963     -7535452   DOWN   DOWN   DOWN      -1124960925   -
 15:07!!   769.89     2701688    10283791     -7582103   DOWN   DOWN   DOWN      -1132543028   -
 15:08     769.97     2702580    10230704     -7528124   DOWN   DOWN   DOWN      -1140071152   -
 15:09!!   770.08     2708767    10232768     -7524001   DOWN   DOWN   DOWN      -1147595153   -
 15:10     770.18     2818866    10216825     -7397959   DOWN   DOWN   DOWN      -1154993112   -
 15:11     770.25     2828813    10204084     -7375271   DOWN   DOWN   DOWN      -1162368383   -
 15:12     770.20     2843373    10201908     -7358535   DOWN   DOWN   DOWN      -1169726918   -
 15:13     770.35     2748004    10172494     -7424490   DOWN   DOWN   DOWN      -1177151408   -
 15:14     770.24     2764308    10175296     -7410988   DOWN   DOWN   DOWN      -1184562396   -
 15:15     770.21     2750547    10194959     -7444412   DOWN   DOWN   DOWN      -1192006808   -
 15:16     770.33     2768905    10185858     -7416953   DOWN   DOWN   DOWN      -1199423761   -
 15:17     770.26     2805761    10194511     -7388750   DOWN   DOWN   DOWN      -1206812511   -
 15:18     770.38     2817195    10173754     -7356559   DOWN   DOWN   DOWN      -1214169070   -
 15:19     770.44     3107400    10164466     -7057066   DOWN   DOWN   DOWN      -1221226136   -
 15:20     770.44     3078748    10175854     -7097106   DOWN   DOWN   DOWN      -1228323242   -
 15:21     770.52     3055128    10188119     -7132991   DOWN   DOWN   DOWN      -1235456233   -
 15:22     770.50     3050311    10235851     -7185540   DOWN   DOWN   DOWN      -1242641773   -
 15:23     770.54     2956222    10245245     -7289023   DOWN   DOWN   DOWN      -1249930796   -
 15:24     770.64     2895835    10221089     -7325254   DOWN   DOWN   DOWN      -1257256050   -
 15:25     770.62     2930995    10189937     -7258942   DOWN   DOWN   DOWN      -1264514992   -
 15:26     770.57     2931587    10175317     -7243730   DOWN   DOWN   DOWN      -1271758722   -
 15:27     770.52     2967298    10166173     -7198875   DOWN   DOWN   DOWN      -1278957597   -
 15:28     770.66     2987406    10172167     -7184761   DOWN   DOWN   DOWN      -1286142358   -
 15:29     770.63     3047724    10208557     -7160833   DOWN   DOWN   DOWN      -1293303191   -
 15:30     770.69     3071753    10225822     -7154069   DOWN   DOWN   DOWN      -1300457260   -
 15:31     770.76     3131995    10245555     -7113560   DOWN   DOWN   DOWN      -1307570820   -
 15:32     770.61     3104537    10266775     -7162238   DOWN   DOWN   DOWN      -1314733058   -
 15:33     770.69     3101551    10286977     -7185426   DOWN   DOWN   DOWN      -1321918484   -
 15:34     770.80     3078692    10299168     -7220476   DOWN   DOWN   DOWN      -1329138960   -
 15:35     770.80     3087274    10276978     -7189704   DOWN   DOWN   DOWN      -1336328664   -
 15:36     770.96     3098959    10255055     -7156096   DOWN   DOWN   DOWN      -1343484760   -
 15:37!!   770.93     3112524    10208013     -7095489   DOWN   DOWN   DOWN      -1350580249   -
 15:38!!   771.08     3157564    10060475     -6902911   DOWN   DOWN   DOWN      -1357483160   -
 15:39!!   771.05     3183312    10055541     -6872229   DOWN   DOWN   DOWN      -1364355389   -
 15:40!!   770.96     3211850    10054068     -6842218   DOWN   DOWN   DOWN      -1371197607   -
 15:41     770.90     3217791    10077104     -6859313   DOWN   DOWN   DOWN      -1378056920   -
 15:42     770.77     3246386    10057305     -6810919   DOWN   DOWN   DOWN      -1384867839   -
 15:43     770.81     3253226    10056462     -6803236   DOWN   DOWN   DOWN      -1391671075   -
 15:44     770.72     3263161     9978805     -6715644   DOWN   DOWN   DOWN      -1398386719   -
 15:45     770.47     3257699    10063793     -6806094   DOWN   DOWN   DOWN      -1405192813   -
 15:46     770.52     3258901    10039764     -6780863   DOWN   DOWN   DOWN      -1411973676   -
 15:47     770.48     3253558    10062851     -6809293   DOWN   DOWN   DOWN      -1418782969   -
 15:48     770.34     3248796    10118651     -6869855   DOWN   DOWN   DOWN      -1425652824   -
 15:49     770.38     3244796    10085395     -6840599   DOWN   DOWN   DOWN      -1432493423   -
 15:50     770.07     3259947    10136486     -6876539   DOWN   DOWN   DOWN      -1439369962   -
 15:51     770.13     3261098    10136390     -6875292   DOWN   DOWN   DOWN      -1446245254   -
 15:52!!   769.91     3239852    10142469     -6902617   DOWN   DOWN   DOWN      -1453147871   -
 15:53!!   769.96     3230361    10157928     -6927567   DOWN   DOWN   DOWN      -1460075438   -
 15:54!!   770.40     3241515    10148898     -6907383   DOWN   DOWN   DOWN      -1466982821   -
 15:55     770.24     3184543    10145537     -6960994   DOWN   DOWN   DOWN      -1473943815   -
 15:56     770.15     3194765    10165737     -6970972   DOWN   DOWN   DOWN      -1480914787   -
 15:57     770.08     3186388    10175591     -6989203   DOWN   DOWN   DOWN      -1487903990   -
 15:58     770.33     3184152    10199297     -7015145   DOWN   DOWN   DOWN      -1494919135   -
