PREMIUM POR MINUTO vs PRECIO DEL SPY  —  2026-08-10  —  expiry 0DTE 20260810
Rejilla completa 09:30 -> 16:12 = 403 minutos | con dato 350 | sin dato 53
B = ese minuto incluye la banda (3 min de golpe).  Vacio = sin lectura ese minuto.
Importes en DOLARES, premium BRUTO (no distingue comprador de vendedor).

┌──────────┬─────┬────────────────┬────────────────┬────────────────┬───────────┬────────┬────────┬─────────┬──────────┬────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┐
│   MINUTO │   B │           CALL │            PUT │          C - P │       SPY │    RSI │  SCORE │     DIR │    MACDh │   ATR% │     VWAP │      OBV │     EMA8 │    EMA21 │    EMA50 │    SMA20 │    SMA50 │   SMA200 │
├──────────┼─────┼────────────────┼────────────────┼────────────────┼───────────┼────────┼────────┼─────────┼──────────┼────────┼──────────┼──────────┼──────────┼──────────┼──────────┼──────────┼──────────┼──────────┤
│    09:30 │   B │              0 │              0 │             +0 │    772.71 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:31 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:32 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:33 │   B │        5909956 │        2665254 │       +3244702 │    772.71 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:34 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:35 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:36 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:37 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:38 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:39 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:40 │   B │              0 │              0 │             +0 │    772.67 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:41 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:42 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:43 │   B │        2524511 │        2844319 │        -319808 │    772.67 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:44 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:45 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:46 │   B │              0 │              0 │             +0 │    772.96 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:47 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:48 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:49 │   B │        2637293 │        1935764 │        +701529 │    773.11 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:50 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:51 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:52 │   B │        4555703 │        4671675 │        -115972 │    772.80 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:53 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:54 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:55 │   B │        2771308 │        2759082 │         +12226 │    773.07 │   53.8 │      3 │    BULL │    0.035 │   0.04 │   773.04 │  bearish │   773.04 │   773.02 │   773.10 │          │          │          │
│    09:56 │     │          59502 │         134850 │         -75348 │    773.16 │   56.0 │      2 │    BULL │    0.041 │   0.04 │   773.05 │  bullish │   773.06 │   773.03 │   773.11 │          │          │          │
│    09:57 │     │         125589 │         180283 │         -54694 │    773.35 │   58.7 │      2 │    BULL │    0.053 │   0.04 │   773.15 │  bullish │   773.12 │   773.06 │   773.12 │          │          │          │
│    09:58 │   B │        2870929 │        1818018 │       +1052911 │    773.41 │   70.9 │      1 │    BULL │    0.062 │   0.04 │   773.21 │  bullish │   773.19 │   773.09 │   773.13 │          │          │          │
│    09:59 │     │         131249 │         186077 │         -54828 │    773.47 │   68.9 │      1 │    BULL │    0.069 │   0.04 │   773.27 │  bullish │   773.25 │   773.12 │   773.14 │          │          │          │
│    10:00 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    10:01 │   B │              0 │              0 │             +0 │    773.73 │   70.1 │      1 │    BULL │    0.083 │   0.04 │   773.45 │  bullish │   773.40 │   773.21 │   773.18 │          │          │          │
│    10:02 │     │         441775 │         205962 │        +235813 │    773.71 │   69.3 │      1 │    BULL │    0.085 │   0.04 │   773.53 │  bullish │   773.47 │   773.25 │   773.20 │          │          │          │
│    10:03 │     │         256420 │          82539 │        +173881 │    773.59 │   62.9 │      2 │    BULL │    0.073 │   0.04 │   773.58 │  bullish │   773.49 │   773.28 │   773.21 │          │          │          │
│    10:04 │   B │        4647419 │        1918566 │       +2728853 │    773.72 │   73.1 │      1 │    BULL │    0.070 │   0.04 │   773.64 │  bullish │   773.54 │   773.32 │   773.23 │          │          │          │
│    10:05 │     │         289149 │         133211 │        +155938 │    773.68 │   79.1 │      0 │ NEUTRAL │    0.061 │   0.03 │   773.67 │  bullish │   773.57 │   773.36 │   773.25 │          │          │          │
│    10:06 │     │         285451 │          62473 │        +222978 │    773.76 │   77.1 │      0 │ NEUTRAL │    0.056 │   0.03 │   773.70 │  bullish │   773.62 │   773.39 │   773.27 │          │          │          │
│    10:07 │   B │        4137710 │        1416004 │       +2721706 │    773.74 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    10:08 │   B │              0 │              0 │             +0 │    773.83 │   78.7 │      0 │ NEUTRAL │    0.047 │   0.03 │   773.76 │  bullish │   773.70 │   773.47 │   773.31 │          │          │          │
│    10:09 │   B │              0 │          55214 │         -55214 │    774.03 │   86.6 │      0 │ NEUTRAL │    0.053 │   0.03 │   773.81 │  bullish │   773.77 │   773.52 │   773.34 │          │          │          │
│    10:10 │     │         400621 │         183175 │        +217446 │    774.15 │   86.7 │      0 │ NEUTRAL │    0.059 │   0.03 │   773.90 │  bullish │   773.86 │   773.58 │   773.37 │          │          │          │
│    10:11 │     │         359039 │         202615 │        +156424 │    773.94 │   71.5 │      1 │    BULL │    0.046 │   0.03 │   773.95 │  bullish │   773.87 │   773.61 │   773.40 │          │          │          │
│    10:12 │   B │        6480150 │        2826957 │       +3653193 │    774.13 │   74.0 │      1 │    BULL │    0.045 │   0.03 │   773.99 │  bullish │   773.93 │   773.66 │   773.42 │          │          │          │
│    10:13 │     │         239849 │         155356 │         +84493 │    774.21 │   74.3 │      1 │    BULL │    0.045 │   0.03 │   774.07 │  bullish │   773.99 │   773.71 │   773.46 │          │          │          │
│    10:14 │     │         313475 │         159112 │        +154363 │    774.22 │   74.2 │      1 │    BULL │    0.042 │   0.03 │   774.11 │  bullish │   774.04 │   773.75 │   773.49 │          │          │          │
│    10:15 │   B │        4751709 │        1770810 │       +2980899 │    774.20 │   68.2 │      1 │    BULL │    0.035 │   0.03 │   774.14 │  bullish │   774.08 │   773.79 │   773.51 │          │          │          │
│    10:16 │     │         127563 │         126896 │           +667 │    774.22 │   69.8 │      1 │    BULL │    0.027 │   0.03 │   774.17 │  bullish │   774.11 │   773.83 │   773.54 │          │          │          │
│    10:17 │     │          80272 │         288875 │        -208603 │    774.12 │   70.9 │      1 │    BULL │    0.012 │   0.03 │   774.19 │  bullish │   774.11 │   773.86 │   773.56 │          │          │          │
│    10:18 │   B │        3192879 │        2211907 │        +980972 │    774.08 │   65.3 │     -3 │    BEAR │   -0.002 │   0.02 │   774.17 │  bullish │   774.11 │   773.88 │   773.58 │          │          │          │
│    10:19 │     │         196348 │         375688 │        -179340 │    774.29 │   72.6 │      1 │    BULL │    0.000 │   0.02 │   774.17 │  bullish │   774.15 │   773.92 │   773.61 │          │          │          │
│    10:20 │     │         241803 │         192942 │         +48861 │    774.31 │   71.3 │      1 │    BULL │    0.001 │   0.02 │   774.19 │  bullish │   774.18 │   773.95 │   773.64 │          │          │          │
│    10:21 │   B │        3996396 │        2134057 │       +1862339 │    774.31 │   69.9 │     -3 │    BEAR │   -0.001 │   0.02 │   774.21 │  bullish │   774.21 │   773.98 │   773.67 │          │          │          │
│    10:22 │     │         190185 │         337393 │        -147208 │    774.12 │   60.3 │     -2 │    BEAR │   -0.017 │   0.02 │   774.22 │  bullish │   774.19 │   774.00 │   773.68 │          │          │          │
│    10:23 │     │         143359 │         482731 │        -339372 │    774.03 │   50.0 │     -2 │    BEAR │   -0.034 │   0.02 │   774.22 │  neutral │   774.15 │   774.00 │   773.70 │          │          │          │
│    10:24 │   B │        3267649 │        3712468 │        -444819 │    773.97 │   42.7 │     -2 │    BEAR │   -0.048 │   0.02 │   774.16 │  bearish │   774.11 │   774.00 │   773.71 │          │          │          │
│    10:25 │     │         223242 │         356661 │        -133419 │    774.22 │   60.9 │     -1 │    BEAR │   -0.041 │   0.03 │   774.11 │  neutral │   774.14 │   774.02 │   773.73 │          │          │          │
│    10:26 │     │         186858 │         193936 │          -7078 │    774.15 │   50.9 │     -1 │    BEAR │   -0.040 │   0.03 │   774.08 │  bearish │   774.14 │   774.03 │   773.74 │          │          │          │
│    10:27 │   B │        4251511 │        2436731 │       +1814780 │    774.19 │   49.1 │     -1 │    BEAR │   -0.037 │   0.03 │   774.09 │  bearish │   774.15 │   774.04 │   773.76 │          │          │          │
│    10:28 │     │         107913 │          85412 │         +22501 │    774.27 │   52.1 │      0 │ NEUTRAL │   -0.030 │   0.03 │   774.12 │  neutral │   774.18 │   774.06 │   773.78 │          │          │          │
│    10:29 │     │         327804 │         581169 │        -253365 │    774.36 │   56.3 │     -2 │    BEAR │   -0.020 │   0.03 │   774.20 │  bullish │   774.22 │   774.09 │   773.80 │          │          │          │
│    10:30 │   B │        3893719 │        1835935 │       +2057784 │    774.47 │   59.3 │     -2 │    BEAR │   -0.007 │   0.03 │   774.26 │  bullish │   774.27 │   774.13 │   773.83 │          │          │          │
