MAGNITUD DE FLUJO POR BLOQUES DE 10 MINUTOS
dCALL / dPUT = variacion del acumulado net_call / net_put dentro del bloque (dolares).
!! = el bloque contiene un RE-CENTRADO de strike de senal. Ahi el salto NO es flujo real:
   es el bug GAP D (premium fantasma), no activo el arreglo en ninguna de estas 2 sesiones.
   Los bloques marcados !! NO son utilizables para medir magnitud.

====================================================================================================
2026-08-10
====================================================================================================
      bloque        dCALL         dPUT  lado   ratio  SPY ini  dSPY blq  dSPY +10  dSPY +20  dSPY +30
14:10-14:19          182382      -162755  CALL     1.1   770.75     +0.00     -1.25     -0.74     -0.41
14:20-14:29 !!      -168997      -682163   PUT     4.0   770.52     -1.02     +0.51     +0.84     +0.58
14:30-14:39 !!       203955       124190  CALL     1.6   769.81     +0.20     +0.33     +0.07     +0.07
14:40-14:49 !!       149551       -94658  CALL     1.6   769.84     +0.50     -0.26     -0.26     +0.10
14:50-14:59         -202856        62616  CALL     3.2   770.24     -0.16     +0.00     +0.36     +0.55
15:00-15:09 !!       -45226         -197  CALL   228.4   769.98     +0.10     +0.36     +0.55     +0.97
15:10-15:19         -288534        52359  CALL     5.5   770.18     +0.26     +0.19     +0.61     -0.06
15:20-15:29           31024       -32703   PUT     1.1   770.44     +0.19     +0.42     -0.25         -
15:30-15:39 !!      -111559       170281   PUT     1.5   770.69     +0.36     -0.67         -         -
15:40-15:49 !!       -32946       -31327  CALL     1.1   770.96     -0.58         -         -         -
15:50-15:58 !!        75795       -62811  CALL     1.2   770.07     +0.26         -         -         -
