PREMIUM POR MINUTO vs PRECIO DEL SPY  —  2026-08-11  —  expiry 0DTE 20260811
Rejilla completa 09:30 -> 16:13 = 404 minutos | con dato 373 | sin dato 31
B = ese minuto incluye la banda (3 min de golpe).  Vacio = sin lectura ese minuto.
Importes en DOLARES, premium BRUTO (no distingue comprador de vendedor).

┌──────────┬─────┬────────────────┬────────────────┬────────────────┬───────────┬────────┬────────┬─────────┬──────────┬────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┐
│   MINUTO │   B │           CALL │            PUT │          C - P │       SPY │    RSI │  SCORE │     DIR │    MACDh │   ATR% │     VWAP │      OBV │     EMA8 │    EMA21 │    EMA50 │    SMA20 │    SMA50 │   SMA200 │
│    11:34 │   B │        1382488 │        3254917 │       -1872429 │    771.95 │   32.7 │     -3 │    BEAR │   -0.010 │   0.03 │   772.35 │  bearish │   772.34 │   772.54 │   772.87 │   772.49 │   773.06 │   773.21 │
│    11:35 │     │         366341 │         946512 │        -580171 │    772.01 │   24.8 │     -2 │    BEAR │   -0.021 │   0.03 │   772.26 │  bearish │   772.27 │   772.49 │   772.84 │   772.45 │   773.03 │   773.20 │
│    11:36 │     │         126745 │         226631 │         -99886 │    772.05 │   27.3 │     -1 │    BEAR │   -0.022 │   0.03 │   772.18 │  bullish │   772.22 │   772.45 │   772.81 │   772.43 │   772.99 │   773.20 │
│    11:37 │   B │        2001690 │        3217069 │       -1215379 │    771.99 │   28.2 │     -2 │    BEAR │   -0.024 │   0.03 │   772.09 │  neutral │   772.17 │   772.41 │   772.77 │   772.41 │   772.96 │   773.20 │
│    11:38 │     │          64165 │         200531 │        -136366 │    771.99 │   30.9 │     -2 │    BEAR │   -0.022 │   0.03 │   772.01 │  neutral │   772.13 │   772.37 │   772.74 │   772.39 │   772.92 │   773.19 │
│    11:39 │     │         377125 │         746311 │        -369186 │    771.86 │   22.5 │     -2 │    BEAR │   -0.026 │   0.03 │   771.98 │  bearish │   772.07 │   772.32 │   772.71 │   772.36 │   772.88 │   773.19 │
│    11:40 │   B │        1280031 │        2110502 │        -830471 │    771.99 │   29.1 │     -3 │    BEAR │   -0.017 │   0.03 │   771.97 │  bearish │   772.05 │   772.29 │   772.68 │   772.34 │   772.85 │   773.18 │
│    11:41 │     │          95929 │         137029 │         -41100 │    771.98 │   32.4 │     -3 │    BEAR │   -0.009 │   0.03 │   771.96 │  bearish │   772.04 │   772.27 │   772.65 │   772.30 │   772.81 │   773.18 │
│    11:42 │     │         741723 │         628842 │        +112881 │    772.11 │   39.3 │      1 │    BULL │    0.007 │   0.03 │   771.97 │  neutral │   772.05 │   772.25 │   772.63 │   772.26 │   772.77 │   773.17 │
│    11:43 │   B │        1139022 │        1442100 │        -303078 │    772.18 │   42.7 │      2 │    BULL │    0.023 │   0.03 │   772.00 │  bullish │   772.08 │   772.24 │   772.61 │   772.24 │   772.74 │   773.17 │
│    11:44 │     │         158577 │          87481 │         +71096 │    772.18 │   38.1 │      2 │    BULL │    0.034 │   0.03 │   772.05 │  bullish │   772.10 │   772.24 │   772.60 │   772.23 │   772.71 │   773.16 │
│    11:45 │     │          84137 │         129700 │         -45563 │    772.09 │   39.8 │      2 │    BULL │    0.036 │   0.03 │   772.08 │  bullish │   772.10 │   772.23 │   772.58 │   772.20 │   772.67 │   773.16 │
│    11:46 │   B │         726808 │        1168265 │        -441457 │    771.98 │   32.1 │     -1 │    BEAR │    0.029 │   0.03 │   772.09 │  bearish │   772.07 │   772.20 │   772.55 │   772.17 │   772.64 │   773.15 │
│    11:47 │     │         243552 │        1081940 │        -838388 │    771.91 │   32.6 │     -1 │    BEAR │    0.021 │   0.03 │   772.07 │  bearish │   772.04 │   772.18 │   772.53 │   772.14 │   772.60 │   773.15 │
│    11:48 │     │          17536 │          38237 │         -20701 │    772.00 │   52.5 │     -2 │    BEAR │    0.022 │   0.03 │   772.04 │  neutral │   772.03 │   772.16 │   772.51 │   772.12 │   772.57 │   773.14 │
│    11:49 │   B │          92732 │         126813 │         -34081 │    772.00 │   49.5 │     -3 │    BEAR │    0.024 │   0.03 │   772.01 │  bearish │   772.02 │   772.15 │   772.49 │   772.10 │   772.54 │   773.13 │
│    11:50 │     │         250280 │          94193 │        +156087 │    772.23 │   58.0 │      0 │ NEUTRAL │    0.040 │   0.03 │   772.03 │  bullish │   772.07 │   772.15 │   772.48 │   772.08 │   772.51 │   773.13 │
│    11:51 │     │         963270 │         846591 │        +116679 │    771.93 │   47.8 │     -2 │    BEAR │    0.030 │   0.03 │   772.02 │  neutral │   772.04 │   772.13 │   772.46 │   772.06 │   772.47 │   773.12 │
│    11:52 │   B │         281926 │        1084150 │        -802224 │    771.84 │   44.8 │      0 │ NEUTRAL │    0.018 │   0.03 │   772.01 │  bearish │   771.99 │   772.11 │   772.43 │   772.03 │   772.44 │   773.12 │
│    11:53 │     │          80947 │         304709 │        -223762 │    771.79 │   47.4 │     -1 │    BEAR │    0.008 │   0.02 │   771.98 │  bearish │   771.95 │   772.08 │   772.41 │   772.00 │   772.40 │   773.11 │
│    11:54 │     │         124544 │         146961 │         -22417 │    771.84 │   44.2 │      0 │ NEUTRAL │    0.006 │   0.02 │   771.94 │  bearish │   771.92 │   772.06 │   772.38 │   772.00 │   772.37 │   773.10 │
│    11:55 │   B │        1061244 │        1363464 │        -302220 │    771.79 │   42.9 │      0 │ NEUTRAL │    0.002 │   0.02 │   771.88 │  bearish │   771.89 │   772.03 │   772.36 │   771.99 │   772.34 │   773.10 │
│    11:56 │     │          37529 │         144369 │        -106840 │    771.91 │   42.4 │      0 │ NEUTRAL │    0.009 │   0.02 │   771.85 │  bearish │   771.90 │   772.02 │   772.34 │   771.98 │   772.32 │   773.09 │
│    11:57 │     │          56858 │          73216 │         -16358 │    771.86 │   37.7 │      0 │ NEUTRAL │    0.011 │   0.02 │   771.85 │  bearish │   771.89 │   772.01 │   772.32 │   771.97 │   772.29 │   773.08 │
│    11:58 │   B │         751708 │         773398 │         -21690 │    772.00 │   43.8 │      0 │ NEUTRAL │    0.022 │   0.02 │   771.88 │  bearish │   771.91 │   772.01 │   772.31 │   771.97 │   772.27 │   773.08 │
│    11:59 │     │        1108184 │         720247 │        +387937 │    772.00 │   46.7 │     -1 │    BEAR │    0.029 │   0.02 │   771.92 │  bearish │   771.93 │   772.01 │   772.30 │   771.98 │   772.26 │   773.07 │
│    12:00 │     │         351704 │         104237 │        +247467 │    772.29 │   60.1 │     -2 │    BEAR │    0.052 │   0.02 │   771.99 │  bullish │   772.01 │   772.03 │   772.30 │   772.00 │   772.25 │   773.06 │
│    12:01 │   B │        1395081 │        1060486 │        +334595 │    772.10 │   55.8 │     -2 │    BEAR │    0.052 │   0.02 │   772.05 │  bearish │   772.03 │   772.04 │   772.29 │   772.00 │   772.23 │   773.06 │
│    12:02 │     │         133333 │          57197 │         +76136 │    772.16 │   54.9 │      4 │    BULL │    0.055 │   0.02 │   772.10 │  neutral │   772.06 │   772.05 │   772.29 │   772.00 │   772.22 │   773.05 │
│    12:03 │     │         108323 │          89619 │         +18704 │    772.03 │   50.9 │      1 │    BULL │    0.046 │   0.02 │   772.13 │  bearish │   772.05 │   772.05 │   772.28 │   772.00 │   772.21 │   773.04 │
│    12:04 │   B │        1058485 │         868177 │        +190308 │    772.04 │   43.8 │      3 │    BULL │    0.039 │   0.02 │   772.13 │  neutral │   772.05 │   772.05 │   772.27 │   771.99 │   772.20 │   773.04 │
│    12:05 │     │         264617 │         120824 │        +143793 │    772.35 │   63.6 │      2 │    BULL │    0.054 │   0.02 │   772.13 │  bullish │   772.12 │   772.07 │   772.27 │   772.00 │   772.19 │   773.03 │
│    12:06 │     │         230144 │         108091 │        +122053 │    772.32 │   66.2 │      0 │ NEUTRAL │    0.058 │   0.02 │   772.17 │  neutral │   772.16 │   772.10 │   772.27 │   772.02 │   772.19 │   773.03 │
│    12:07 │   B │        1246509 │         962713 │        +283796 │    772.26 │   65.8 │     -1 │    BEAR │    0.055 │   0.02 │   772.20 │  bearish │   772.18 │   772.11 │   772.27 │   772.04 │   772.18 │   773.02 │
│    12:08 │     │         114893 │         118407 │          -3514 │    772.27 │   64.8 │      2 │    BULL │    0.051 │   0.02 │   772.23 │  bearish │   772.20 │   772.13 │   772.27 │   772.05 │   772.18 │   773.02 │
│    12:09 │     │          74608 │          24879 │         +49729 │    772.31 │   68.1 │      0 │ NEUTRAL │    0.048 │   0.02 │   772.28 │  neutral │   772.23 │   772.14 │   772.27 │   772.07 │   772.18 │   773.01 │
│    12:10 │   B │         697754 │         555587 │        +142167 │    772.27 │   63.2 │      0 │ NEUTRAL │    0.042 │   0.02 │   772.29 │  bearish │   772.24 │   772.15 │   772.27 │   772.07 │   772.18 │   773.01 │
│    12:11 │     │         133869 │         126004 │          +7865 │    772.11 │   58.5 │      0 │ NEUTRAL │    0.025 │   0.02 │   772.25 │  bearish │   772.21 │   772.15 │   772.27 │   772.08 │   772.16 │   773.00 │
│    12:12 │     │         156036 │         151193 │          +4843 │    772.10 │   53.7 │      1 │    BULL │    0.013 │   0.02 │   772.21 │  bearish │   772.18 │   772.15 │   772.26 │   772.09 │   772.15 │   773.00 │
│    12:13 │   B │         589343 │         730263 │        -140920 │    772.10 │   53.7 │      1 │    BULL │    0.004 │   0.02 │   772.18 │  bearish │   772.17 │   772.14 │   772.25 │   772.11 │   772.14 │   772.99 │
│    12:14 │     │         151141 │         215167 │         -64026 │    771.96 │   36.1 │     -6 │    BEAR │   -0.010 │   0.02 │   772.13 │  bearish │   772.12 │   772.12 │   772.24 │   772.11 │   772.13 │   772.98 │
│    12:15 │     │         127307 │          43367 │         +83940 │    772.14 │   51.7 │     -5 │    BEAR │   -0.008 │   0.02 │   772.09 │  bearish │   772.12 │   772.13 │   772.24 │   772.13 │   772.12 │   772.98 │
│    12:16 │   B │        1630044 │         825502 │        +804542 │    772.34 │   56.8 │      0 │ NEUTRAL │    0.007 │   0.02 │   772.12 │  bearish │   772.17 │   772.15 │   772.24 │   772.15 │   772.11 │   772.97 │
│    12:17 │     │         295592 │         138470 │        +157122 │    772.35 │   63.3 │      0 │ NEUTRAL │    0.017 │   0.02 │   772.17 │  bearish │   772.21 │   772.16 │   772.25 │   772.17 │   772.11 │   772.97 │
│    12:18 │     │          91462 │         126956 │         -35494 │    772.23 │   57.3 │      2 │    BULL │    0.014 │   0.02 │   772.20 │  bearish │   772.22 │   772.17 │   772.25 │   772.19 │   772.11 │   772.97 │
│    12:19 │   B │        1225565 │        1121858 │        +103707 │    772.08 │   38.3 │      2 │    BULL │    0.002 │   0.02 │   772.22 │  bearish │   772.19 │   772.16 │   772.24 │   772.19 │   772.10 │   772.96 │
│    12:20 │     │         113025 │          91098 │         +21927 │    772.05 │   38.3 │     -2 │    BEAR │   -0.008 │   0.02 │   772.22 │  bearish │   772.16 │   772.15 │   772.23 │   772.18 │   772.09 │   772.96 │
│    12:21 │     │          96185 │          79560 │         +16625 │    772.13 │   44.4 │     -2 │    BEAR │   -0.009 │   0.02 │   772.18 │  bearish │   772.15 │   772.15 │   772.23 │   772.18 │   772.09 │   772.96 │
│    12:22 │   B │         809652 │         899216 │         -89564 │    772.16 │   45.4 │     -1 │    BEAR │   -0.007 │   0.02 │   772.14 │  bearish │   772.15 │   772.15 │   772.23 │   772.18 │   772.08 │   772.95 │
│    12:23 │     │         149671 │          75352 │         +74319 │    772.02 │   38.8 │     -4 │    BEAR │   -0.015 │   0.02 │   772.10 │  bearish │   772.12 │   772.14 │   772.22 │   772.18 │   772.07 │   772.95 │
│    12:24 │     │        2045960 │        4265953 │       -2219993 │    771.71 │   32.1 │     -3 │    BEAR │   -0.038 │   0.02 │   772.04 │  bearish │   772.03 │   772.10 │   772.20 │   772.16 │   772.07 │   772.94 │
│    12:25 │   B │        1251177 │        2326481 │       -1075304 │    771.63 │   33.8 │     -3 │    BEAR │   -0.056 │   0.03 │   771.93 │  bearish │   771.94 │   772.06 │   772.18 │   772.13 │   772.06 │   772.94 │
│    12:26 │     │         155333 │         324179 │        -168846 │    771.66 │   35.3 │     -4 │    BEAR │   -0.063 │   0.03 │   771.84 │  bearish │   771.88 │   772.02 │   772.15 │   772.09 │   772.05 │   772.93 │
│    12:27 │     │         139461 │         219506 │         -80045 │    771.88 │   43.6 │     -4 │    BEAR │   -0.049 │   0.03 │   771.78 │  bearish │   771.88 │   772.01 │   772.14 │   772.08 │   772.05 │   772.92 │
│    12:28 │   B │        1814482 │        2130626 │        -316144 │    771.67 │   41.9 │     -4 │    BEAR │   -0.051 │   0.03 │   771.70 │  bearish │   771.83 │   771.98 │   772.13 │   772.04 │   772.04 │   772.92 │
│    12:29 │     │          82586 │         128122 │         -45536 │    771.82 │   40.9 │     -4 │    BEAR │   -0.039 │   0.03 │   771.70 │  bearish │   771.83 │   771.96 │   772.11 │   772.02 │   772.04 │   772.91 │
│    12:30 │     │          60475 │         113997 │         -53522 │    771.83 │   33.8 │     -3 │    BEAR │   -0.029 │   0.03 │   771.75 │  bearish │   771.83 │   771.95 │   772.10 │   772.00 │   772.04 │   772.90 │
│    12:31 │   B │        1029365 │        1499937 │        -470572 │    771.54 │   28.1 │     -3 │    BEAR │   -0.038 │   0.03 │   771.75 │  bearish │   771.77 │   771.91 │   772.08 │   771.97 │   772.03 │   772.90 │
│    12:32 │     │          62307 │         258420 │        -196113 │    771.50 │   29.4 │     -3 │    BEAR │   -0.044 │   0.03 │   771.70 │  bearish │   771.71 │   771.88 │   772.06 │   771.94 │   772.02 │   772.89 │
│    12:33 │     │          22463 │         143721 │        -121258 │    771.56 │   34.5 │     -3 │    BEAR │   -0.041 │   0.03 │   771.67 │  bearish │   771.67 │   771.85 │   772.04 │   771.91 │   772.01 │   772.88 │
│    12:34 │   B │         804942 │        1501367 │        -696425 │    771.56 │   35.2 │     -6 │    BEAR │   -0.036 │   0.03 │   771.63 │  bearish │   771.65 │   771.82 │   772.02 │   771.89 │   771.99 │   772.87 │
│    12:35 │     │         134347 │         201230 │         -66883 │    771.74 │   38.9 │     -4 │    BEAR │   -0.018 │   0.03 │   771.60 │  bearish │   771.67 │   771.81 │   772.01 │   771.87 │   771.99 │   772.87 │
│    12:36 │     │         121568 │         115546 │          +6022 │    771.81 │   40.2 │     -4 │    BEAR │   -0.001 │   0.03 │   771.63 │  bearish │   771.70 │   771.81 │   772.00 │   771.85 │   771.98 │   772.86 │
│    12:37 │   B │        1183068 │        1028748 │        +154320 │    771.91 │   46.9 │      1 │    BULL │    0.018 │   0.03 │   771.71 │  bullish │   771.75 │   771.82 │   772.00 │   771.82 │   771.98 │   772.86 │
│    12:38 │     │          81414 │          93892 │         -12478 │    771.87 │   55.4 │      0 │ NEUTRAL │    0.027 │   0.03 │   771.76 │  bullish │   771.77 │   771.83 │   771.99 │   771.81 │   771.98 │   772.85 │
│    12:39 │     │          21199 │          53638 │         -32439 │    771.87 │   58.6 │      0 │ NEUTRAL │    0.032 │   0.02 │   771.82 │  bullish │   771.80 │   771.83 │   771.99 │   771.80 │   771.98 │   772.84 │
│    12:40 │   B │        1075323 │         789212 │        +286111 │    771.74 │   52.7 │     -3 │    BEAR │    0.026 │   0.02 │   771.84 │  bearish │   771.78 │   771.82 │   771.98 │   771.78 │   771.97 │   772.84 │
│    12:41 │     │          14908 │          65238 │         -50330 │    771.73 │   44.2 │     -2 │    BEAR │    0.022 │   0.02 │   771.82 │  bearish │   771.77 │   771.81 │   771.97 │   771.76 │   771.96 │   772.84 │
│    12:42 │     │          33309 │          38493 │          -5184 │    771.71 │   51.8 │     -3 │    BEAR │    0.017 │   0.02 │   771.79 │  bearish │   771.76 │   771.80 │   771.96 │   771.74 │   771.96 │   772.83 │
│    12:43 │   B │         599819 │         699291 │         -99472 │    771.58 │   38.9 │     -2 │    BEAR │    0.006 │   0.02 │   771.74 │  bearish │   771.72 │   771.78 │   771.94 │   771.72 │   771.96 │   772.83 │
│    12:44 │     │          68055 │          95307 │         -27252 │    771.58 │   38.3 │     -6 │    BEAR │   -0.001 │   0.02 │   771.69 │  bearish │   771.69 │   771.77 │   771.93 │   771.71 │   771.95 │   772.82 │
│    12:45 │     │          76139 │         181733 │        -105594 │    771.47 │   46.1 │     -5 │    BEAR │   -0.011 │   0.02 │   771.64 │  bearish │   771.64 │   771.74 │   771.91 │   771.70 │   771.95 │   772.82 │
│    12:46 │   B │         757186 │        1280779 │        -523593 │    771.36 │   42.7 │     -4 │    BEAR │   -0.024 │   0.02 │   771.57 │  bearish │   771.58 │   771.70 │   771.89 │   771.69 │   771.94 │   772.81 │
│    12:47 │     │          88319 │         122895 │         -34576 │    771.36 │   38.9 │     -4 │    BEAR │   -0.029 │   0.02 │   771.50 │  bearish │   771.53 │   771.67 │   771.87 │   771.66 │   771.93 │   772.81 │
│    12:48 │     │          98847 │         179910 │         -81063 │    771.37 │   39.6 │     -4 │    BEAR │   -0.030 │   0.02 │   771.44 │  bearish │   771.49 │   771.65 │   771.85 │   771.65 │   771.91 │   772.80 │
│    12:49 │   B │        1046659 │        1883862 │        -837203 │    771.43 │   30.4 │     -1 │    BEAR │   -0.024 │   0.02 │   771.41 │  bullish │   771.48 │   771.63 │   771.83 │   771.63 │   771.90 │   772.79 │
│    12:50 │     │         140115 │         137461 │          +2654 │    771.38 │   22.1 │     -2 │    BEAR │   -0.021 │   0.02 │   771.39 │  bearish │   771.46 │   771.60 │   771.81 │   771.60 │   771.88 │   772.78 │
│    12:51 │     │         108219 │          97731 │         +10488 │    771.45 │   18.9 │      0 │ NEUTRAL │   -0.012 │   0.02 │   771.40 │  bullish │   771.46 │   771.59 │   771.80 │   771.60 │   771.87 │   772.77 │
│    12:52 │   B │         750151 │        1197836 │        -447685 │    771.39 │   18.4 │     -4 │    BEAR │   -0.009 │   0.02 │   771.41 │  bearish │   771.44 │   771.57 │   771.78 │   771.59 │   771.85 │   772.76 │
│    12:53 │     │          60378 │         143862 │         -83484 │    771.33 │   17.1 │     -2 │    BEAR │   -0.009 │   0.02 │   771.41 │  bearish │   771.42 │   771.55 │   771.77 │   771.58 │   771.84 │   772.75 │
│    12:54 │     │          42346 │         128883 │         -86537 │    771.38 │   25.7 │     -5 │    BEAR │   -0.005 │   0.02 │   771.40 │  bearish │   771.41 │   771.53 │   771.75 │   771.57 │   771.83 │   772.74 │
│    12:55 │   B │         447408 │         793456 │        -346048 │    771.29 │   23.2 │     -2 │    BEAR │   -0.006 │   0.02 │   771.38 │  bearish │   771.38 │   771.51 │   771.73 │   771.55 │   771.81 │   772.73 │
│    12:56 │     │         149661 │         426985 │        -277324 │    771.20 │   21.3 │     -2 │    BEAR │   -0.011 │   0.02 │   771.33 │  bearish │   771.34 │   771.48 │   771.71 │   771.52 │   771.78 │   772.72 │
│    12:57 │     │          97379 │         178293 │         -80914 │    771.14 │   23.2 │     -2 │    BEAR │   -0.017 │   0.02 │   771.28 │  bearish │   771.30 │   771.45 │   771.69 │   771.48 │   771.76 │   772.71 │
│    12:58 │   B │         893472 │        2123738 │       -1230266 │    771.08 │   21.6 │     -2 │    BEAR │   -0.022 │   0.02 │   771.23 │  bearish │   771.25 │   771.42 │   771.67 │   771.44 │   771.74 │   772.70 │
│    12:59 │     │         149380 │         151455 │          -2075 │    771.14 │   30.1 │     -3 │    BEAR │   -0.019 │   0.02 │   771.19 │  bearish │   771.22 │   771.39 │   771.65 │   771.41 │   771.71 │   772.69 │
│    13:00 │     │         201841 │         272139 │         -70298 │    771.02 │   29.8 │     -3 │    BEAR │   -0.022 │   0.02 │   771.14 │  bearish │   771.18 │   771.36 │   771.62 │   771.37 │   771.69 │   772.68 │
│    13:01 │   B │         870881 │        2121437 │       -1250556 │    771.07 │   33.7 │     -3 │    BEAR │   -0.019 │   0.02 │   771.11 │  bearish │   771.15 │   771.33 │   771.60 │   771.34 │   771.67 │   772.66 │
│    13:02 │     │         129677 │         493040 │        -363363 │    770.86 │   26.6 │     -3 │    BEAR │   -0.027 │   0.02 │   771.06 │  bearish │   771.09 │   771.29 │   771.57 │   771.29 │   771.64 │   772.65 │
│    13:03 │     │         106655 │         350370 │        -243715 │    770.98 │   30.4 │     -3 │    BEAR │   -0.022 │   0.02 │   771.02 │  bearish │   771.07 │   771.26 │   771.55 │   771.26 │   771.62 │   772.64 │
│    13:04 │   B │        1456622 │        1949765 │        -493143 │    770.79 │   27.1 │     -3 │    BEAR │   -0.029 │   0.02 │   770.97 │  bearish │   771.00 │   771.22 │   771.52 │   771.22 │   771.60 │   772.63 │
│    13:05 │     │         155034 │         249033 │         -93999 │    770.84 │   26.0 │     -3 │    BEAR │   -0.026 │   0.02 │   770.92 │  bearish │   770.97 │   771.18 │   771.49 │   771.19 │   771.57 │   772.62 │
│    13:06 │     │        1256000 │         864760 │        +391240 │    771.03 │   37.1 │     -4 │    BEAR │   -0.010 │   0.02 │   770.91 │  bearish │   770.98 │   771.17 │   771.47 │   771.18 │   771.55 │   772.61 │
│    13:07 │   B │        1154037 │        1767158 │        -613121 │    770.98 │   37.4 │     -4 │    BEAR │   -0.000 │   0.02 │   770.93 │  bearish │   770.98 │   771.15 │   771.45 │   771.16 │   771.52 │   772.60 │
│    13:08 │     │         283311 │         189186 │         +94125 │    770.91 │   33.3 │     -1 │    BEAR │    0.003 │   0.02 │   770.93 │  bearish │   770.97 │   771.13 │   771.43 │   771.13 │   771.49 │   772.59 │
│    13:09 │     │          57191 │         184787 │        -127596 │    770.88 │   34.8 │     -1 │    BEAR │    0.004 │   0.02 │   770.94 │  bearish │   770.95 │   771.11 │   771.41 │   771.11 │   771.47 │   772.58 │
│    13:10 │   B │         728028 │        1273557 │        -545529 │    770.78 │   34.6 │      1 │    BULL │    0.000 │   0.02 │   770.93 │  bearish │   770.91 │   771.08 │   771.39 │   771.08 │   771.44 │   772.57 │
│    13:11 │     │         151579 │         498182 │        -346603 │    770.55 │   30.7 │     -3 │    BEAR │   -0.015 │   0.03 │   770.85 │  bearish │   770.83 │   771.03 │   771.35 │   771.03 │   771.41 │   772.56 │
│    13:12 │     │         113108 │         331465 │        -218357 │    770.47 │   30.3 │     -3 │    BEAR │   -0.028 │   0.03 │   770.75 │  bearish │   770.75 │   770.98 │   771.32 │   770.99 │   771.38 │   772.54 │
│    13:13 │   B │        1199083 │        4071130 │       -2872047 │    770.47 │   27.5 │     -3 │    BEAR │   -0.032 │   0.03 │   770.64 │  bearish │   770.69 │   770.93 │   771.29 │   770.94 │   771.35 │   772.53 │
│    13:14 │     │         126104 │         313767 │        -187663 │    770.33 │   27.2 │     -3 │    BEAR │   -0.041 │   0.02 │   770.54 │  bearish │   770.61 │   770.88 │   771.25 │   770.89 │   771.32 │   772.52 │
│    13:15 │     │          97509 │         203562 │        -106053 │    770.45 │   30.4 │     -3 │    BEAR │   -0.034 │   0.03 │   770.46 │  bearish │   770.57 │   770.84 │   771.22 │   770.85 │   771.29 │   772.51 │
│    13:16 │   B │         878921 │        2174784 │       -1295863 │    770.37 │   33.1 │     -3 │    BEAR │   -0.031 │   0.02 │   770.42 │  bearish │   770.53 │   770.80 │   771.18 │   770.81 │   771.27 │   772.49 │
│    13:17 │     │         262250 │         257325 │          +4925 │    770.64 │   39.4 │     -4 │    BEAR │   -0.009 │   0.03 │   770.44 │  bearish │   770.55 │   770.78 │   771.16 │   770.78 │   771.24 │   772.48 │
│    13:18 │     │         212036 │         169068 │         +42968 │    770.68 │   46.2 │     -1 │    BEAR │    0.011 │   0.02 │   770.49 │  bearish │   770.58 │   770.77 │   771.14 │   770.76 │   771.22 │   772.46 │
│    13:19 │   B │        1339613 │        1697669 │        -358056 │    770.75 │   46.9 │      1 │    BULL │    0.029 │   0.03 │   770.56 │  bullish │   770.62 │   770.77 │   771.13 │   770.74 │   771.20 │   772.45 │
│    13:20 │     │         128599 │         132490 │          -3891 │    770.74 │   38.8 │      0 │ NEUTRAL │    0.040 │   0.02 │   770.63 │  bearish │   770.65 │   770.77 │   771.11 │   770.73 │   771.18 │   772.43 │
│    13:21 │     │         244975 │         298214 │         -53239 │    770.94 │   48.6 │      1 │    BULL │    0.059 │   0.03 │   770.72 │  bullish │   770.71 │   770.78 │   771.11 │   770.72 │   771.17 │   772.42 │
│    13:22 │   B │        1697785 │        1568304 │        +129481 │    770.73 │   44.3 │      0 │ NEUTRAL │    0.057 │   0.03 │   770.76 │  bullish │   770.72 │   770.78 │   771.09 │   770.72 │   771.15 │   772.40 │
│    13:23 │     │          93599 │         207549 │        -113950 │    770.75 │   45.9 │     -1 │    BEAR │    0.055 │   0.03 │   770.77 │  bullish │   770.72 │   770.78 │   771.08 │   770.70 │   771.14 │   772.39 │
│    13:24 │     │         133525 │          71088 │         +62437 │    770.90 │   53.7 │      1 │    BULL │    0.062 │   0.03 │   770.79 │  bullish │   770.76 │   770.79 │   771.07 │   770.71 │   771.12 │   772.37 │
│    13:25 │   B │        1060392 │        1132700 │         -72308 │    770.75 │   56.5 │     -2 │    BEAR │    0.055 │   0.03 │   770.81 │  bullish │   770.76 │   770.78 │   771.06 │   770.71 │   771.10 │   772.36 │
│    13:26 │     │          83727 │         144320 │         -60593 │    770.80 │   60.9 │      0 │ NEUTRAL │    0.053 │   0.03 │   770.79 │  bullish │   770.77 │   770.79 │   771.05 │   770.69 │   771.08 │   772.34 │
│    13:27 │     │          58009 │         100991 │         -42982 │    770.73 │   58.2 │     -2 │    BEAR │    0.045 │   0.03 │   770.78 │  bullish │   770.76 │   770.78 │   771.04 │   770.68 │   771.06 │   772.33 │
│    13:28 │   B │         758704 │         826158 │         -67454 │    770.88 │   67.3 │     -1 │    BEAR │    0.048 │   0.03 │   770.80 │  bullish │   770.79 │   770.79 │   771.03 │   770.68 │   771.04 │   772.31 │
│    13:29 │     │         141144 │         108840 │         +32304 │    770.85 │   63.3 │      4 │    BULL │    0.046 │   0.03 │   770.81 │  bullish │   770.80 │   770.80 │   771.02 │   770.68 │   771.02 │   772.30 │
│    13:30 │     │          54524 │          99065 │         -44541 │    770.81 │   65.1 │      3 │    BULL │    0.041 │   0.03 │   770.81 │  bullish │   770.80 │   770.80 │   771.01 │   770.68 │   771.00 │   772.28 │
│    13:31 │   B │         629137 │         961124 │        -331987 │    770.77 │   55.3 │      2 │    BULL │    0.034 │   0.03 │   770.81 │  bullish │   770.80 │   770.79 │   771.00 │   770.69 │   770.98 │   772.27 │
│    13:32 │     │          37295 │          64846 │         -27551 │    770.73 │   52.0 │     -3 │    BEAR │    0.026 │   0.02 │   770.82 │  bearish │   770.78 │   770.79 │   770.99 │   770.70 │   770.96 │   772.25 │
│    13:33 │     │          84010 │          70207 │         +13803 │    770.80 │   52.0 │     -1 │    BEAR │    0.024 │   0.02 │   770.81 │  bullish │   770.79 │   770.79 │   770.99 │   770.72 │   770.95 │   772.24 │
│    13:34 │   B │         415761 │         460968 │         -45207 │    770.94 │   57.4 │      2 │    BULL │    0.032 │   0.02 │   770.81 │  bullish │   770.82 │   770.80 │   770.98 │   770.75 │   770.93 │   772.22 │
│    13:35 │     │        5694262 │        2559773 │       +3134489 │    771.04 │   54.0 │      3 │    BULL │    0.041 │   0.02 │   770.85 │  bullish │   770.87 │   770.82 │   770.99 │   770.78 │   770.93 │   772.21 │
│    13:36 │     │         158678 │          93983 │         +64695 │    771.01 │   63.0 │      2 │    BULL │    0.044 │   0.02 │   770.90 │  bullish │   770.90 │   770.84 │   770.99 │   770.81 │   770.92 │   772.20 │
│    13:37 │   B │        1960831 │        1248298 │        +712533 │    770.94 │   58.4 │      2 │    BULL │    0.039 │   0.02 │   770.94 │  bearish │   770.91 │   770.85 │   770.99 │   770.83 │   770.91 │   772.18 │
